"","name","start","end","strand","length","pid","gene","synonym","product","proteinid","feature","gene_type","MbovID","Gene","id","len","extra_id","Mtb_ID","col","fill","lty","lwd","pch","cex"
"1205","mutT2",1287995,1288420,1,141,"A0A1R3XYH8","mutT2","BQ2027_MB1192","PROBABLE MUTATOR PROTEIN MUTT2 (7,8-dihydro-8-oxoguanine-triphosphatase) (8-OXO-DGTPASE)","SIT99793.1","CDS","bars","Mb1192"," mutT2",NA," len 141 aa. ",NA,"Rv1160","blue","blue",1,1,8,1
"1206","narG",1288728,1292426,1,1232,"A0A1R3XXK6","narG","BQ2027_MB1193","respiratory nitrate reductase (alpha chain) narg","SIT99794.1","CDS","bars","Mb1193"," narG",NA," len 1232 aa. ",NA,"Rv1161","blue","blue",1,1,8,1
"1207","narH",1292465,1294141,1,558,"A0A1R3XXW6","narH","BQ2027_MB1194","PROBABLE RESPIRATORY NITRATE REDUCTASE (BETA CHAIN) NARH","SIT99795.1","CDS","bars","Mb1194"," narH",NA," len 558 aa. ",NA,"Rv1162","blue","blue",1,1,8,1
"1208","narJ",1294198,1294803,1,201,"A0A1R3XXJ7","narJ","BQ2027_MB1195","PROBABLE RESPIRATORY NITRATE REDUCTASE (DELTA CHAIN) NARJ","SIT99796.1","CDS","bars","Mb1195"," narJ",NA," len 201 aa. ",NA,"Rv1163","blue","blue",1,1,8,1
"1209","narI",1294806,1295546,1,246,"A0A1R3XXJ3","narI","BQ2027_MB1196","PROBABLE RESPIRATORY NITRATE REDUCTASE (GAMMA CHAIN) NARI","SIT99797.1","CDS","bars","Mb1196"," narI",NA," len 246 aa. ",NA,"Rv1164","blue","blue",1,1,8,1
"1210","typA",1295568,1297454,1,628,"A0A1R3XXJ4","typA","BQ2027_MB1197","POSSIBLE GTP-BINDING TRANSLATION ELONGATION FACTOR TYPA (TYROSINE PHOSPHORYLATED PROTEIN A) (GTP-BINDING PROTEIN)","SIT99798.1","CDS","bars","Mb1197"," typA",NA," len 628 aa. ",NA,"Rv1165","blue","blue",1,1,8,1
"1211","lpqW",1297552,1299459,1,635,"A0A1R3XXK3","lpqW","BQ2027_MB1198","probable conserved lipoprotein lpqw","SIT99799.1","CDS","bars","Mb1198"," lpqW",NA," len 635 aa. ",NA,"Rv1166","blue","blue",1,1,8,1
"1212","BQ2027_MB1199C",1299487,1300092,-1,201,"A0A1R3XXJ2","-","BQ2027_MB1199C","PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN","SIT99800.1","CDS","bars","Mb1199c"," -",NA," len 201 aa. ",NA,"Rv1167c","blue","blue",1,1,8,1
"1213","PPE17b",1300164,1300661,-1,165,"A0A1R3XXK0","PPE17b","BQ2027_MB1200C","PPE FAMILY PROTEIN [SECOND PART]","SIT99801.1","CDS","bars","Mb1200c"," PPE17b",NA," len 165 aa. ",NA,"Rv1168c","blue","blue",1,1,8,1
"1214","PPE17a",1300663,1301205,-1,180,"A0A1R3XZN0","PPE17a","BQ2027_MB1201C","PPE FAMILY PROTEIN [FIRST PART]","SIT99802.1","CDS","bars","Mb1201c"," PPE17a",NA," len 180 aa.","Rv1168c","Rv1168c","blue","blue",1,1,8,1
"1215","lipx",1301223,1301525,-1,100,"A0A1R3XYI5","lipx","BQ2027_MB1202C","pe family protein. possible lipase lipx.","SIT99803.1","CDS","bars","Mb1202c"," PE11",NA," len 100 aa. ",NA,"Rv1169c","blue","blue",1,1,8,1
"1216","mshB",1301705,1302616,1,303,"Q7U0H2","mshB","BQ2027_MB1203","N-Acetyl-1-D-myo-Inosityl-2-Amino-2-Deoxy-alpha-D-Glucopyranoside Deacetylase mshB (GlcNAc-Ins deacetylase)","SIT99804.1","CDS","bars","Mb1203"," mshB",NA," len 303 aa. ",NA,"Rv1170","blue","blue",1,1,8,1
"1217","BQ2027_MB1204",1302708,1303148,1,146,"A0A1R3XXX5","-","BQ2027_MB1204","putative membrane protein","SIT99805.1","CDS","bars","Mb1204"," -",NA," len 146 aa. ",NA,"Rv1171","blue","blue",1,1,8,1
"1218","PE12",1303156,1304082,-1,308,"A0A1R3XXK7","PE12","BQ2027_MB1205C","pe family protein pe12","SIT99806.1","CDS","bars","Mb1205c"," PE12",NA," len 308 aa. ",NA,"Rv1172c","blue","blue",1,1,8,1
"1219","fbiC",1304332,1306902,1,856,"Q7U0G9","fbiC","BQ2027_MB1206","PROBABLE F420 BIOSYNTHESIS PROTEIN FBIC","SIT99807.1","CDS","bars","Mb1206"," fbiC",NA," len 856 aa. ",NA,"Rv1173","blue","blue",1,1,8,1
"1220","tb8.4",1306946,1307278,-1,110,"A0A1R3XXK5","tb8.4","BQ2027_MB1207C","low molecular weight t-cell antigen tb8.4","SIT99808.1","CDS","bars","Mb1207c"," -",NA," len 110 aa. ",NA,"Rv1174c","blue","blue",1,1,8,1
"1221","fadH",1307479,1309503,-1,674,"A0A1R3XXL3","fadH","BQ2027_MB1208C","PROBABLE NADPH DEPENDENT 2,4-DIENOYL-COA REDUCTASE FADH (2,4-dienoyl coenzyme A reductase) (4-enoyl-CoA reductase)","SIT99809.1","CDS","bars","Mb1208c"," fadH",NA," len 674 aa. ",NA,"Rv1175c","blue","blue",1,1,8,1
"1222","BQ2027_MB1209C",1309500,1310069,-1,189,"A0A1R3XXK1","-","BQ2027_MB1209C","Transcriptional regulator, PadR family","SIT99810.1","CDS","bars","Mb1209c"," -",NA," len 189 aa. ",NA,"Rv1176c","blue","blue",1,1,8,1
"1223","fdxC",1310282,1310608,1,108,"A0A1R3XXL0","fdxC","BQ2027_MB1210","PROBABLE FERREDOXIN FDXC","SIT99811.1","CDS","bars","Mb1210"," fdxC",NA," len 108 aa. ",NA,"Rv1177","blue","blue",1,1,8,1
"1224","BQ2027_MB1211",1310641,1311729,1,362,"A0A1R3XZP9","-","BQ2027_MB1211","PROBABLE AMINOTRANSFERASE","SIT99812.1","CDS","bars","Mb1211"," -",NA," len 362 aa. ",NA,"Rv1178","blue","blue",1,1,8,1
"1225","BQ2027_MB1212C",1311757,1314576,-1,939,"A0A1R3XYJ4","-","BQ2027_MB1212C","DNA or RNA helicases of superfamily II","SIT99813.1","CDS","bars","Mb1212c"," -",NA," len 939 aa. ",NA,"Rv1179c","blue","blue",1,1,8,1
"1226","pks3",1315003,1321260,1,2085,"A0A1R3XXM6","pks3","BQ2027_MB1213","probable polyketide beta-ketoacyl synthase pks4","SIT99814.1","CDS","bars","Mb1213"," pks3",NA," len 2085 aa. ",NA,"Rv1180 and Rv1181","blue","blue",1,1,8,1
"1227","papA3",1321313,1322731,1,472,"A0A1R3XXY4","papA3","BQ2027_MB1214","PROBABLE CONSERVED POLYKETIDE SYNTHASE ASSOCIATED PROTEIN PAPA3","SIT99815.1","CDS","bars","Mb1214"," papA3",NA," len 472 aa. ",NA,"Rv1182","blue","blue",1,1,8,1
"1228","mmpL10",1322798,1325806,1,1002,"P65373","mmpL10","BQ2027_MB1215","PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL10","SIT99816.1","CDS","bars","Mb1215"," mmpL10",NA," len 1002 aa. ",NA,"Rv1183","blue","blue",1,1,8,1
"1229","BQ2027_MB1216C",1325810,1326889,-1,359,"A0A1R3XXL5","-","BQ2027_MB1216C","POSSIBLE EXPORTED PROTEIN","SIT99817.1","CDS","bars","Mb1216c"," -",NA," len 359 aa. ",NA,"Rv1184c","blue","blue",1,1,8,1
"1230","fadD21",1327054,1328790,-1,578,"P63524","fadD21","BQ2027_MB1217C","probable fatty-acid-amp ligase fadd21 (fatty-acid-amp synthetase) (fatty-acid-amp synthase)","SIT99818.1","CDS","bars","Mb1217c"," fadD21",NA," len 578 aa. ",NA,"Rv1185c","blue","blue",1,1,8,1
"1231","BQ2027_MB1218C",1328967,1330583,-1,538,"A0A1R3XXM3","-","BQ2027_MB1218C","Regulator of polyketide synthase expression","SIT99819.1","CDS","bars","Mb1218c"," -",NA," len 538 aa. ",NA,"Rv1186c","blue","blue",1,1,8,1
"1232","rocA",1330668,1332299,1,543,"A0A1R3XXL2","rocA","BQ2027_MB1219","PROBABLE PYRROLINE-5-CARBOXYLATE DEHYDROGENASE ROCA","SIT99820.1","CDS","bars","Mb1219"," rocA",NA," len 543 aa. ",NA,"Rv1187","blue","blue",1,1,8,1
"1233","BQ2027_MB1220",1332299,1333288,1,329,"A0A1R3XXM0","-","BQ2027_MB1220","PROBABLE PROLINE DEHYDROGENASE","SIT99821.1","CDS","bars","Mb1220"," -",NA," len 329 aa. ",NA,"Rv1188","blue","blue",1,1,8,1
"1234","sigI",1333370,1334242,1,290,"A0A1R3XZQ9","sigI","BQ2027_MB1221","POSSIBLE ALTERNATIVE RNA POLYMERASE SIGMA FACTOR SIGI","SIT99822.1","CDS","bars","Mb1221"," sigI",NA," len 290 aa. ",NA,"Rv1189","blue","blue",1,1,8,1
"1235","BQ2027_MB1222",1334258,1335136,1,292,"A0A1R3XYK6","-","BQ2027_MB1222","Hydrolase, alpha/beta fold family","SIT99823.1","CDS","bars","Mb1222"," -",NA," len 292 aa. ",NA,"Rv1190","blue","blue",1,1,8,1
"1236","BQ2027_MB1223",1335209,1336123,1,304,"A0A1R3XXN6","-","BQ2027_MB1223","Putative hydrolase","SIT99824.1","CDS","bars","Mb1223"," -",NA," len 304 aa. ",NA,"Rv1191","blue","blue",1,1,8,1
"1237","BQ2027_MB1224",1336205,1337032,1,275,"A0A1R3XXZ3","-","BQ2027_MB1224","unknown protein","SIT99825.1","CDS","bars","Mb1224"," -",NA," len 275 aa. ",NA,"Rv1192","blue","blue",1,1,8,1
"1238","fadD36",1337072,1338493,1,473,"A0A1R3XXM7","fadD36","BQ2027_MB1225","PROBABLE FATTY-ACID-COA LIGASE FADD36 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE)","SIT99826.1","CDS","bars","Mb1225"," fadD36",NA," len 473 aa. ",NA,"Rv1193","blue","blue",1,1,8,1
"1239","BQ2027_MB1226C",1338526,1339791,-1,421,"A0A1R3XXM4","-","BQ2027_MB1226C","Possible regulatory protein Trx","SIT99827.1","CDS","bars","Mb1226c"," -",NA," len 421 aa. ",NA,"Rv1194c","blue","blue",1,1,8,1
"1240","PE13",1340281,1340580,1,99,"A0A1R3XXM5","PE13","BQ2027_MB1227","pe family protein pe13","SIT99828.1","CDS","bars","Mb1227"," PE13",NA," len 99 aa. ",NA,"Rv1195","blue","blue",1,1,8,1
"1241","PPE18",1340627,1341799,1,390,"A0A1R3XXN5","PPE18","BQ2027_MB1228","ppe family protein ppe18","SIT99829.1","CDS","bars","Mb1228"," PPE18",NA," len 390 aa. ",NA,"Rv1196","blue","blue",1,1,8,1
"1242","esxK",1341934,1342230,1,98,"P0DOB1","esxK","BQ2027_MB1229","esat-6 like protein esxk (esat-6 like protein 3)","SIT99830.1","CDS","bars","Mb1229"," esxK",NA," len 98 aa. ",NA,"Rv1197","blue","blue",1,1,8,1
"1243","esxL",1342281,1342565,1,94,"P59804","esxL","BQ2027_MB1230","putative esat-6 like protein esxl (esat-6 like protein 4)","SIT99831.1","CDS","bars","Mb1230"," esxL",NA," len 94 aa. ",NA,"Rv1198","blue","blue",1,1,8,1
"1244","BQ2027_MB1231C",1342633,1343880,-1,415,"P60231","-","BQ2027_MB1231C","POSSIBLE TRANSPOSASE","SIT99832.1","CDS","bars","Mb1231c"," -",NA," len 415 aa. ",NA,"Rv1199c","blue","blue",1,1,8,1
"1245","BQ2027_MB1232",1344217,1345494,1,425,"A0A1R3XYL7","-","BQ2027_MB1232","PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN","SIT99833.1","CDS","bars","Mb1232"," -",NA," len 425 aa. ",NA,"Rv1200","blue","blue",1,1,8,1
"1246","dapd",1345491,1346444,-1,317,"Q7U0E7","dapd","BQ2027_MB1233C","tetrahydrodipicolinate n-succinyltransferase dapd","SIT99834.1","CDS","bars","Mb1233c"," -",NA," len 317 aa. ",NA,"Rv1201c","blue","blue",1,1,8,1
"1247","dapE",1346535,1347599,1,354,"A0A1R3XXZ9","dapE","BQ2027_MB1234","PROBABLE SUCCINYL-DIAMINOPIMELATE DESUCCINYLASE DAPE","SIT99835.1","CDS","bars","Mb1234"," dapE",NA," len 354 aa. ",NA,"Rv1202","blue","blue",1,1,8,1
"1248","BQ2027_MB1235C",1347596,1348180,-1,194,"A0A1R3XXN7","-","BQ2027_MB1235C","AAA-ATPase, domain of unknown function, and LuxR DNA-binding domain","SIT99836.1","CDS","bars","Mb1235c"," -",NA," len 194 aa. ",NA,"Rv1203c","blue","blue",1,1,8,1
"1249","BQ2027_MB1236C",1348211,1349899,-1,562,"A0A1R3XXN3","-","BQ2027_MB1236C","AAA-ATPase, domain of unknown function, and LuxR DNA-binding domain","SIT99837.1","CDS","bars","Mb1236c"," -",NA," len 562 aa. ",NA,"Rv1204c","blue","blue",1,1,8,1
"1250","log",1349994,1350557,1,187,"A0A1R3XXN4","log","BQ2027_MB1237","Phosphoribohydrolase involved in Mycobacterial cytokinins production, homolog of plant cytokinin-activating enzyme LOG","SIT99838.1","CDS","bars","Mb1237"," -",NA," len 187 aa. ",NA,"Rv1205","blue","blue",1,1,8,1
"1251","fadD6",1350607,1352400,1,597,"A0A1R3XXP6","fadD6","BQ2027_MB1238","PROBABLE FATTY-ACID-COA LIGASE FADD6 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE)","SIT99839.1","CDS","bars","Mb1238"," fadD6",NA," len 597 aa. ",NA,"Rv1206","blue","blue",1,1,8,1
"1252","folP2",1352466,1353422,1,318,"P64140","folP2","BQ2027_MB1239","dihydropteroate synthase 2 folp2 (dhps 2) (dihydropteroate pyrophosphorylase 2)","SIT99840.1","CDS","bars","Mb1239"," folP2",NA," len 318 aa. ",NA,"Rv1207","blue","blue",1,1,8,1
"1253","gpgs",1353419,1354393,1,324,"Q7U0E1","gpgs","BQ2027_MB1240","probable glucosyl-3-phosphoglycerate synthase gpgs","SIT99841.1","CDS","bars","Mb1240"," -",NA," len 324 aa. ",NA,"Rv1208","blue","blue",1,1,8,1
"1254","BQ2027_MB1241",1354432,1354800,1,122,"A0A1R3XZT7","-","BQ2027_MB1241","conserved protein","SIT99842.1","CDS","bars","Mb1241"," -",NA," len 122 aa. ",NA,"Rv1209","blue","blue",1,1,8,1
"1255","tagA",1354797,1355411,1,204,"A0A1R3XYM7","tagA","BQ2027_MB1242","probable dna-3-methyladenine glycosylase i taga (tag i) (3-methyladenine-dna glycosylase i, constitutive) (dna-3-methyladenine glycosidase i)","SIT99843.1","CDS","bars","Mb1242"," tagA",NA," len 204 aa. ",NA,"Rv1210","blue","blue",1,1,8,1
"1256","BQ2027_MB1243",1355518,1355745,1,75,"A0A1R3XXQ4","-","BQ2027_MB1243","conserved protein","SIT99844.1","CDS","bars","Mb1243"," -",NA," len 75 aa. ",NA,"Rv1211","blue","blue",1,1,8,1
"1257","glga",1355773,1356936,-1,387,"A0A1R3XY10","glga","BQ2027_MB1244C","putative glycosyl transferase glga","SIT99845.1","CDS","bars","Mb1244c"," -",NA," len 387 aa. ",NA,"Rv1212c","blue","blue",1,1,8,1
"1258","glgC",1357111,1358325,1,404,"P64242","glgC","BQ2027_MB1245","glucose-1-phosphate adenylyltransferase glgc (adp-glucose synthase) (adp-glucose pyrophosphorylase)","SIT99846.1","CDS","bars","Mb1245"," glgC",NA," len 404 aa. ",NA,"Rv1213","blue","blue",1,1,8,1
"1259","PE14",1358521,1358895,-1,124,"A0A1R3XXP3","PE14","BQ2027_MB1246C","pe family protein pe14","SIT99847.1","CDS","bars","Mb1246c"," PE14",NA," len 124 aa. ",NA,"Rv1214c","blue","blue",1,1,8,1
"1260","BQ2027_MB1247C",1359029,1360714,-1,561,"A0A1R3XXP5","-","BQ2027_MB1247C","Cocaine esterase (EC","SIT99848.1","CDS","bars","Mb1247c"," -",NA," len 561 aa. ",NA,"Rv1215c","blue","blue",1,1,8,1
"1261","BQ2027_MB1248C",1360742,1361416,-1,224,"A0A1R3XXQ5","-","BQ2027_MB1248C","PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN","SIT99849.1","CDS","bars","Mb1248c"," -",NA," len 224 aa. ",NA,"Rv1216c","blue","blue",1,1,8,1
"1262","BQ2027_MB1249C",1361425,1363071,-1,548,"A0A1R3XXP2","-","BQ2027_MB1249C","PROBABLE TETRONASIN-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER","SIT99850.1","CDS","bars","Mb1249c"," -",NA," len 548 aa. ",NA,"Rv1217c","blue","blue",1,1,8,1
"1263","BQ2027_MB1250C",1363068,1364003,-1,311,"A0A1R3XXQ1","-","BQ2027_MB1250C","PROBABLE TETRONASIN-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER","SIT99851.1","CDS","bars","Mb1250c"," -",NA," len 311 aa. ",NA,"Rv1218c","blue","blue",1,1,8,1
"1264","BQ2027_MB1251C",1363993,1364631,-1,212,"A0A1R3XZU0","-","BQ2027_MB1251C","PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN","SIT99852.1","CDS","bars","Mb1251c"," -",NA," len 212 aa. ",NA,"Rv1219c","blue","blue",1,1,8,1
"1265","BQ2027_MB1252C",1364773,1365420,-1,215,"Q7U0D0","-","BQ2027_MB1252C","PROBABLE METHYLTRANSFERASE","SIT99853.1","CDS","bars","Mb1252c"," -",NA," len 215 aa. ",NA,"Rv1220c","blue","blue",1,1,8,1
"1266","sigE",1365683,1366456,1,257,"A0A1R3XXR2","sigE","BQ2027_MB1253","ALTERNATIVE RNA POLYMERASE SIGMA FACTOR SIGE","SIT99854.1","CDS","bars","Mb1253"," sigE",NA," len 257 aa. ",NA,"Rv1221","blue","blue",1,1,8,1
"1267","rsea",1366614,1367078,1,154,"A0A1R3XY24","rsea","BQ2027_MB1254","anti-sigma factor rsea","SIT99855.1","CDS","bars","Mb1254"," -",NA," len 154 aa. ",NA,"Rv1222","blue","blue",1,1,8,1
"1268","htrA",1367147,1368733,1,528,"A0A1R3XXQ7","htrA","BQ2027_MB1255","PROBABLE SERINE PROTEASE HTRA (DEGP PROTEIN)","SIT99856.1","CDS","bars","Mb1255"," htrA",NA," len 528 aa. ",NA,"Rv1223","blue","blue",1,1,8,1
"1269","tatB",1368735,1369130,1,131,"Q7VEZ5","tatB","BQ2027_MB1256","Probable protein TatB","SIT99857.1","CDS","bars","Mb1256"," tatB",NA," len 131 aa. ",NA,"Rv1224","blue","blue",1,1,8,1
"1270","BQ2027_MB1257C",1369163,1369993,-1,276,"A0A1R3XXQ2","-","BQ2027_MB1257C","HAD-superfamily subfamily IIA hydrolase, hypothetical 2","SIT99858.1","CDS","bars","Mb1257c"," -",NA," len 276 aa. ",NA,"Rv1225c","blue","blue",1,1,8,1
"1271","BQ2027_MB1258C",1370104,1371567,-1,487,"A0A1R3XXR6","-","BQ2027_MB1258C","PROBABLE TRANSMEMBRANE PROTEIN","SIT99859.1","CDS","bars","Mb1258c"," -",NA," len 487 aa. ",NA,"Rv1226c","blue","blue",1,1,8,1
"1272","BQ2027_MB1259C",1371564,1372097,-1,177,"A0A1R3XXQ6","-","BQ2027_MB1259C","PROBABLE TRANSMEMBRANE PROTEIN","SIT99860.1","CDS","bars","Mb1259c"," -",NA," len 177 aa. ",NA,"Rv1227c","blue","blue",1,1,8,1
"1273","lpqX",1372192,1372749,1,185,"A0A1R3XXR3","lpqX","BQ2027_MB1260","probable lipoprotein lpqx","SIT99861.1","CDS","bars","Mb1260"," lpqX",NA," len 185 aa. ",NA,"Rv1228","blue","blue",1,1,8,1
"1274","mrp",1373049,1374221,-1,390,"P65442","mrp","BQ2027_MB1261C","PROBABLE MRP-RELATED PROTEIN MRP","SIT99862.1","CDS","bars","Mb1261c"," mrp",NA," len 390 aa. ",NA,"Rv1229c","blue","blue",1,1,8,1
"1275","BQ2027_MB1262C",1374234,1375469,-1,411,"A0A1R3XYP6","-","BQ2027_MB1262C","POSSIBLE MEMBRANE PROTEIN","SIT99863.1","CDS","bars","Mb1262c"," -",NA," len 411 aa. ",NA,"Rv1230c","blue","blue",1,1,8,1
"1276","BQ2027_MB1263C",1375594,1376136,-1,180,"A0A1R3XXS0","-","BQ2027_MB1263C","PROBABLE MEMBRANE PROTEIN","SIT99864.1","CDS","bars","Mb1263c"," -",NA," len 180 aa. ",NA,"Rv1231c","blue","blue",1,1,8,1
"1277","BQ2027_MB1264C",1376133,1377440,-1,435,"A0A1R3XY33","-","BQ2027_MB1264C","Mg/Co/Ni transporter MgtE, CBS domain-containing","SIT99865.1","CDS","bars","Mb1264c"," -",NA," len 435 aa. ",NA,"Rv1232c","blue","blue",1,1,8,1
"1278","BQ2027_MB1265C",1377502,1378098,-1,198,"A0A1R3XXR7","-","BQ2027_MB1265C","CONSERVED HYPOTHETICAL MEMBRANE PROTEIN","SIT99866.1","CDS","bars","Mb1265c"," -",NA," len 198 aa. ",NA,"Rv1233c","blue","blue",1,1,8,1
"1279","BQ2027_MB1266",1378248,1378775,1,175,"A0A1R3XXR1","-","BQ2027_MB1266","PROBABLE TRANSMEMBRANE PROTEIN","SIT99867.1","CDS","bars","Mb1266"," -",NA," len 175 aa. ",NA,"Rv1234","blue","blue",1,1,8,1
"1280","lpqY",1378796,1380202,1,468,"A0A1R3XXR4","lpqY","BQ2027_MB1267","PROBABLE SUGAR-BINDING LIPOPROTEIN LPQY","SIT99868.1","CDS","bars","Mb1267"," lpqY",NA," len 468 aa. ",NA,"Rv1235","blue","blue",1,1,8,1
"1281","sugA",1380199,1381122,1,307,"A0A1R3XXS7","sugA","BQ2027_MB1268","PROBABLE SUGAR-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER SUGA","SIT99869.1","CDS","bars","Mb1268"," sugA",NA," len 307 aa. ",NA,"Rv1236","blue","blue",1,1,8,1
"1282","sugB",1381127,1381951,1,274,"A0A1R3XXR5","sugB","BQ2027_MB1269","PROBABLE SUGAR-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER SUGB","SIT99870.1","CDS","bars","Mb1269"," sugB",NA," len 274 aa. ",NA,"Rv1237","blue","blue",1,1,8,1
"1283","sugC",1381956,1383137,1,393,"A0A1R3XXS2","sugC","BQ2027_MB1270","PROBABLE SUGAR-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER SUGC","SIT99871.1","CDS","bars","Mb1270"," sugC",NA," len 393 aa. ",NA,"Rv1238","blue","blue",1,1,8,1
"1284","corA",1383214,1384314,-1,366,"A0A1R3XZW9","corA","BQ2027_MB1271C","POSSIBLE MAGNESIUM AND COBALT TRANSPORT TRANSMEMBRANE PROTEIN CORA","SIT99872.1","CDS","bars","Mb1271c"," corA",NA," len 366 aa. ",NA,"Rv1239c","blue","blue",1,1,8,1
"1285","mdh",1384485,1385474,1,329,"P0A5J7","mdh","BQ2027_MB1272","PROBABLE MALATE DEHYDROGENASE MDH","SIT99873.1","CDS","bars","Mb1272"," mdh",NA," len 329 aa. ",NA,"Rv1240","blue","blue",1,1,8,1
"1286","vapb33",1385550,1385810,1,86,"A0A1R3XXT0","vapb33","BQ2027_MB1273","possible antitoxin vapb33","SIT99874.1","CDS","bars","Mb1273"," -",NA," len 86 aa. ",NA,"Rv1241","blue","blue",1,1,8,1
"1287","vapc33",1385807,1386238,1,143,"A0A1R3XY37","vapc33","BQ2027_MB1274","possible toxin vapc33. contains pin domain.","SIT99875.1","CDS","bars","Mb1274"," -",NA," len 143 aa. ",NA,"Rv1242","blue","blue",1,1,8,1
"1288","PE_PGRS23",1386261,1387949,-1,562,"A0A1R3XXS6","PE_PGRS23","BQ2027_MB1275C","pe-pgrs family protein pe_pgrs23","SIT99876.1","CDS","bars","Mb1275c"," PE_PGRS23",NA," len 562 aa. ",NA,"Rv1243c","blue","blue",1,1,8,1
"1289","lpqZ",1388129,1388989,1,286,"A0A1R3XXS3","lpqZ","BQ2027_MB1276","probable lipoprotein lpqz","SIT99877.1","CDS","bars","Mb1276"," lpqZ",NA," len 286 aa. ",NA,"Rv1244","blue","blue",1,1,8,1
"1290","BQ2027_MB1277C",1389070,1389900,-1,276,"A0A1R3XXS4","-","BQ2027_MB1277C","PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE","SIT99878.1","CDS","bars","Mb1277c"," -",NA," len 276 aa. ",NA,"Rv1245c","blue","blue",1,1,8,1
"1291","relE",1389957,1390250,-1,97,"A0A1R3XXT8","relE","BQ2027_MB1278C","toxin relE","SIT99879.1","CDS","bars","Mb1278c"," -",NA," len 97 aa. ",NA,"Rv1246c","blue","blue",1,1,8,1
"1292","relB",1390247,1390516,-1,89,"A0A1R3XXS5","relB","BQ2027_MB1279C","antitoxin relb","SIT99880.1","CDS","bars","Mb1279c"," -",NA," len 89 aa. ",NA,"Rv1247c","blue","blue",1,1,8,1
"1293","sucA",1390629,1394324,-1,1231,"Q7U0A6","sucA","BQ2027_MB1280C","Multifunctional alpha-ketoglutarate metabolic enzyme","SIT99881.1","CDS","bars","Mb1280c"," len 1231 aa. "," Rv1248c"," from Mycobacterium tuberculosis strain H37Rv",NA," Rv1248c","blue","blue",1,1,8,1
"1294","BQ2027_MB1281C",1394466,1395254,-1,262,"A0A1R3XZY1","-","BQ2027_MB1281C","POSSIBLE MEMBRANE PROTEIN","SIT99882.1","CDS","bars","Mb1281c"," -",NA," len 262 aa. ",NA,"Rv1249c","blue","blue",1,1,8,1
"1295","BQ2027_MB1282",1395451,1397190,1,579,"A0A1R3XYR8","-","BQ2027_MB1282","PROBABLE DRUG-TRANSPORT INTEGRAL MEMBRANE PROTEIN","SIT99883.1","CDS","bars","Mb1282"," -",NA," len 579 aa. ",NA,"Rv1250","blue","blue",1,1,8,1
"1296","BQ2027_MB1283C",1397093,1400512,-1,1139,"A0A1R3XXU0","-","BQ2027_MB1283C","Superfamily I DNA and RNA helicases and helicase subunits","SIT99884.1","CDS","bars","Mb1283c"," -",NA," len 1139 aa. ",NA,"Rv1251c","blue","blue",1,1,8,1
"1297","lprE",1400568,1401176,-1,202,"P65313","lprE","BQ2027_MB1284C","PROBABLE LIPOPROTEIN LPRE","SIT99885.1","CDS","bars","Mb1284c"," lprE",NA," len 202 aa. ",NA,"Rv1252c","blue","blue",1,1,8,1
"1298","deaD",1401242,1402933,1,563,"A0A1R3XXT6","deaD","BQ2027_MB1285","PROBABLE COLD-SHOCK DEAD-BOX PROTEIN A HOMOLOG DEAD (ATP-dependent RNA helicase deaD homolog)","SIT99886.1","CDS","bars","Mb1285"," deaD",NA," len 563 aa. ",NA,"Rv1253","blue","blue",1,1,8,1
"1299","BQ2027_MB1286",1402930,1404081,1,383,"A0A1R3XXT3","-","BQ2027_MB1286","PROBABLE ACYLTRANSFERASE","SIT99887.1","CDS","bars","Mb1286"," -",NA," len 383 aa. ",NA,"Rv1254","blue","blue",1,1,8,1
"1300","BQ2027_MB1287C",1404050,1404349,-1,99,"A0A1R3XXT4","-","BQ2027_MB1287C","probable transcriptional regulatory protein","SIT99888.1","CDS","bars","Mb1287c"," -",NA," len 99 aa. ",NA,"Rv1257c and Rv1255c","blue","blue",1,1,8,1
"1301","BQ2027_MB1288C",1404346,1405605,-1,419,"P64784","-","BQ2027_MB1288C","PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN","SIT99889.1","CDS","bars","Mb1288c"," -",NA," len 419 aa. ",NA,"Rv1258c","blue","blue",1,1,8,1
"1302","udgb",1405604,1406503,1,299,"P64786","udgb","BQ2027_MB1289","probable uracil dna glycosylase, udgb","SIT99890.1","CDS","bars","Mb1289"," -",NA," len 299 aa. ",NA,"Rv1259","blue","blue",1,1,8,1
