Run,Assay Type,BioSample,Center Name,Consent,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioProject,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,AvgSpotLen,Bases,Host,Collection_Date,BioSampleModel,isolate,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,isolation_source,strain,collected_by,lat_lon,host_disease,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),sample_type,AssemblyName,sample_name,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,SRA_accession,title,Alias,INSDC_center_alias,ENA_CHECKLIST,subject_id,Biomaterial_provider,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,spoligotype,ArrayExpress-SPECIES,Genotype,VNTR,host_description,forward_read_length (run),MD5_checksum2 (run),MD5_checksum (run),reverse_read_length (run),REA,external_id,Submitter_Id,passage_history,identified_by,samp_size,common_name,lab_host,host_sex,geographic_location_(country_and/or_sea),host_health_state,host_scientific_name,Host_Age,host_tissue_sampled,doi_location,Description,env_biome,specific_host,env_feature,env_material,isol_growth_condt,num_replicons,ref_biomaterial,accession (run),object_status (run),study (run),analysis_type (exp),analysis_type (run),flowcell_barcode (run),gssr_id (exp),gssr_id (run),instrument_name (run),isolation-source,lane (run),library_type (exp)
SRR1792292,WGS,SAMN03300650,USDA-NVSL-DBL,public,SRX867954,Illumina MiSeq,250: 11-5428,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,28-Nov,SRP053287,PRJNA251692,820276411,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",465,1057801610,Cattle,2011,Pathogen.cl,MB601,USA,North America,USA:IN,Tissue,28-Nov,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792293,WGS,SAMN03300651,USDA-NVSL-DBL,public,SRX867955,Illumina MiSeq,250: 11-5432,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Nov-32,SRP053287,PRJNA251692,1205778054,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",450,1617425568,Cattle,2011,Pathogen.cl,MB602,USA,North America,USA:MI,Tissue,Nov-32,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791745,WGS,SAMN03300103,USDA-NVSL-DBL,public,SRX867407,Illumina MiSeq,250: 01-5441,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jan-41,SRP053287,PRJNA251692,99996162,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",445,167629617,Cattle,2001,Pathogen.cl,MB54,Mexico,North America,Mexico,Tissue,Jan-41,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792294,WGS,SAMN03300652,USDA-NVSL-DBL,public,SRX867956,Illumina HiSeq 2000,250: 11-5500,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Nov-00,SRP053287,PRJNA251692,191422789,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",467,318246702,Cattle,2011,Pathogen.cl,MB603,USA,North America,USA:IN,Tissue,Nov-00,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791952,WGS,SAMN03300310,USDA-NVSL-DBL,public,SRX867614,Illumina MiSeq,250: 05-5501,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,1-May,SRP053287,PRJNA251692,355211653,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",473,598238144,Cattle,2005,Pathogen.cl,MB261,Mexico,North America,Mexico,Tissue,1-May,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792295,WGS,SAMN03300653,USDA-NVSL-DBL,public,SRX867957,Illumina MiSeq,250: 11-5501,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,1-Nov,SRP053287,PRJNA251692,924681390,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",463,1191201353,Cattle,2011,Pathogen.cl,MB604,USA,North America,USA:IN,Tissue,1-Nov,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791746,WGS,SAMN03300104,USDA-NVSL-DBL,public,SRX867408,Illumina MiSeq,250: 01-5518,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,18-Jan,SRP053287,PRJNA251692,245219817,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",441,322656401,Cattle,2001,Pathogen.cl,MB55,USA,North America,USA:KS,Tissue,18-Jan,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792059,WGS,SAMN03300417,USDA-NVSL-DBL,public,SRX867721,Illumina HiSeq 2000,250: 07-5545,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jul-45,SRP053287,PRJNA251692,269856421,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",106,383535030,Cattle,2007,Pathogen.cl,MB368,USA,North America,USA:NM,Tissue,Jul-45,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791953,WGS,SAMN03300311,USDA-NVSL-DBL,public,SRX867615,Illumina MiSeq,250: 05-5591,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,May-91,SRP053287,PRJNA251692,192057070,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",463,331099946,Cattle,2005,Pathogen.cl,MB262,Mexico,North America,Mexico,Tissue,May-91,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791917,WGS,SAMN03300275,USDA-NVSL-DBL,public,SRX867579,Illumina MiSeq,250: 04-5618,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,18-Apr,SRP053287,PRJNA251692,330557694,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",434,555961596,Cattle,2004,Pathogen.cl,MB226,Mexico,North America,Mexico,Tissue,18-Apr,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792018,WGS,SAMN03300376,USDA-NVSL-DBL,public,SRX867680,Illumina MiSeq,250: 06-5620,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,20-Jun,SRP053287,PRJNA251692,587513779,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",454,875349430,Cattle,2006,Pathogen.cl,MB327,USA,North America,USA:MI,Tissue,20-Jun,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791747,WGS,SAMN03300105,USDA-NVSL-DBL,public,SRX867409,Illumina MiSeq,250: 01-5639,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jan-39,SRP053287,PRJNA251692,188980837,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",436,329580797,Cattle,2001,Pathogen.cl,MB56,Mexico,North America,Mexico,Tissue,Jan-39,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791748,WGS,SAMN03300106,USDA-NVSL-DBL,public,SRX867410,Illumina MiSeq,250: 01-5640,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jan-40,SRP053287,PRJNA251692,395932935,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",473,594505357,Cattle,2001,Pathogen.cl,MB57,Mexico,North America,Mexico,Tissue,Jan-40,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791749,WGS,SAMN03300107,USDA-NVSL-DBL,public,SRX867411,Illumina MiSeq,250: 01-5647,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jan-47,SRP053287,PRJNA251692,476594240,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",472,753899608,Cattle,2001,Pathogen.cl,MB58,Mexico,North America,Mexico,Tissue,Jan-47,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791750,WGS,SAMN03300108,USDA-NVSL-DBL,public,SRX867412,Illumina MiSeq,250: 01-5648,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jan-48,SRP053287,PRJNA251692,204865854,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",475,334606627,Cattle,2001,Pathogen.cl,MB59,Mexico,North America,Mexico,Tissue,Jan-48,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791954,WGS,SAMN03300312,USDA-NVSL-DBL,public,SRX867616,Illumina MiSeq,250: 05-5649,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,May-49,SRP053287,PRJNA251692,346404130,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",474,590848171,Cattle,2005,Pathogen.cl,MB263,Mexico,North America,Mexico,Tissue,May-49,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791918,WGS,SAMN03300276,USDA-NVSL-DBL,public,SRX867580,Illumina MiSeq,250: 04-5676,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Apr-76,SRP053287,PRJNA251692,262186678,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",443,432353320,Cattle,2004,Pathogen.cl,MB227,USA,North America,USA:WI,Tissue,Apr-76,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792060,WGS,SAMN03300418,USDA-NVSL-DBL,public,SRX867722,Illumina MiSeq,250: 07-5683,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jul-83,SRP053287,PRJNA251692,706138821,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",468,1156982703,Cattle,2007,Pathogen.cl,MB369,USA,North America,USA:CO,Tissue,Jul-83,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791751,WGS,SAMN03300109,USDA-NVSL-DBL,public,SRX867413,Illumina MiSeq,250: 01-5694,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jan-94,SRP053287,PRJNA251692,419399410,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",476,693715443,Cattle,2001,Pathogen.cl,MB60,Mexico,North America,Mexico,Tissue,Jan-94,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792296,WGS,SAMN03300654,USDA-NVSL-DBL,public,SRX867958,Illumina MiSeq,250: 11-5713,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,13-Nov,SRP053287,PRJNA251692,560114114,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",431,760274902,Cattle,2011,Pathogen.cl,MB605,USA,North America,USA:WA,Tissue,13-Nov,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792297,WGS,SAMN03300655,USDA-NVSL-DBL,public,SRX867959,Illumina MiSeq,250: 11-5716,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,16-Nov,SRP053287,PRJNA251692,183130218,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",470,242834127,Cattle,2011,Pathogen.cl,MB606,USA,North America,USA:CA,Tissue,16-Nov,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791752,WGS,SAMN03300110,USDA-NVSL-DBL,public,SRX867414,Illumina MiSeq,250: 01-5745,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jan-45,SRP053287,PRJNA251692,341912485,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",461,583467053,Cattle,2001,Pathogen.cl,MB61,Mexico,North America,Mexico,Tissue,Jan-45,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791753,WGS,SAMN03300111,USDA-NVSL-DBL,public,SRX867415,Illumina MiSeq,250: 01-5750,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jan-50,SRP053287,PRJNA251692,55885230,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",486,96465761,Cattle,2001,Pathogen.cl,MB62,Mexico,North America,Mexico,Tissue,Jan-50,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792203,WGS,SAMN03300561,USDA-NVSL-DBL,public,SRX867865,Illumina MiSeq,250: 09-5763,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Sep-63,SRP053287,PRJNA251692,593018336,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",468,892982598,Cattle,2009,Pathogen.cl,MB512,USA,North America,USA:NE,Tissue,Sep-63,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792204,WGS,SAMN03300562,USDA-NVSL-DBL,public,SRX867866,Illumina MiSeq,250: 09-5790,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Sep-90,SRP053287,PRJNA251692,516525037,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",463,747622469,Cattle,2009,Pathogen.cl,MB513,USA,North America,USA:NE,Tissue,Sep-90,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792063,WGS,SAMN03300421,USDA-NVSL-DBL,public,SRX867725,Illumina MiSeq,250: 07-5810,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,10-Jul,SRP053287,PRJNA251692,485696309,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",470,874527251,Cattle,2007,Pathogen.cl,MB372,Mexico,North America,Mexico,Tissue,10-Jul,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792064,WGS,SAMN03300422,USDA-NVSL-DBL,public,SRX867726,Illumina MiSeq,250: 07-5817,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,17-Jul,SRP053287,PRJNA251692,358809962,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",460,490482415,Cattle,2007,Pathogen.cl,MB373,Mexico,North America,Mexico,Tissue,17-Jul,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792065,WGS,SAMN03300423,USDA-NVSL-DBL,public,SRX867727,Illumina MiSeq,250: 07-5844,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jul-44,SRP053287,PRJNA251692,507956122,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",448,726459761,Cattle,2007,Pathogen.cl,MB374,Mexico,North America,Mexico,Tissue,Jul-44,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791822,WGS,SAMN03300180,USDA-NVSL-DBL,public,SRX867484,Illumina MiSeq,250: 02-5877,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Feb-77,SRP053287,PRJNA251692,606604735,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",454,1006048089,Cattle,2002,Pathogen.cl,MB131,Mexico,North America,Mexico,Tissue,Feb-77,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791823,WGS,SAMN03300181,USDA-NVSL-DBL,public,SRX867485,Illumina MiSeq,250: 02-5898,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Feb-98,SRP053287,PRJNA251692,348765346,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",476,596354330,Cattle,2002,Pathogen.cl,MB132,Mexico,North America,Mexico,Tissue,Feb-98,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791824,WGS,SAMN03300182,USDA-NVSL-DBL,public,SRX867486,Illumina MiSeq,250: 02-5899,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Feb-99,SRP053287,PRJNA251692,395897470,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",472,608171482,Cattle,2002,Pathogen.cl,MB133,Mexico,North America,Mexico,Tissue,Feb-99,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792344,WGS,SAMN03300702,USDA-NVSL-DBL,public,SRX868006,Illumina MiSeq,250: 12-5919,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,19-Dec,SRP053287,PRJNA251692,440169760,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",468,575821891,Cattle,2012,Pathogen.cl,MB653,USA,North America,USA:MI,Tissue,19-Dec,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791955,WGS,SAMN03300313,USDA-NVSL-DBL,public,SRX867617,Illumina MiSeq,250: 05-5935,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,May-35,SRP053287,PRJNA251692,214066883,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",483,319491607,Cattle,2005,Pathogen.cl,MB264,Mexico,North America,Mexico,Tissue,May-35,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792257,WGS,SAMN03300615,USDA-NVSL-DBL,public,SRX867919,Illumina MiSeq,250: 10-5948,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Oct-48,SRP053287,PRJNA251692,195885167,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",466,295697723,Cattle,2010,Pathogen.cl,MB566,USA,North America,USA:MI,Tissue,Oct-48,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791754,WGS,SAMN03300112,USDA-NVSL-DBL,public,SRX867416,Illumina MiSeq,250: 01-5950,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jan-50,SRP053287,PRJNA251692,689142827,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",482,989811881,Cattle,2001,Pathogen.cl,MB63,USA,North America,USA:TX,Tissue,Jan-50,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791825,WGS,SAMN03300183,USDA-NVSL-DBL,public,SRX867487,Illumina MiSeq,250: 02-5980,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Feb-80,SRP053287,PRJNA251692,508105670,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",455,753687424,Cattle,2002,Pathogen.cl,MB134,USA,North America,USA:MI,Tissue,Feb-80,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792066,WGS,SAMN03300424,USDA-NVSL-DBL,public,SRX867728,Illumina MiSeq,250: 07-6003,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,3-Jul,SRP053287,PRJNA251692,473773843,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",432,741771165,Cattle,2007,Pathogen.cl,MB375,Mexico,North America,Mexico,Tissue,3-Jul,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792019,WGS,SAMN03300377,USDA-NVSL-DBL,public,SRX867681,Illumina MiSeq,250: 06-6007,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,7-Jun,SRP053287,PRJNA251692,586551741,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",457,877059591,Cattle,2006,Pathogen.cl,MB328,USA,North America,USA:MI,Tissue,7-Jun,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791890,WGS,SAMN03300248,USDA-NVSL-DBL,public,SRX867552,Illumina MiSeq,250: 03-6018,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,18-Mar,SRP053287,PRJNA251692,167538521,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",483,277105042,Cattle,2003,Pathogen.cl,MB199,Mexico,North America,Mexico,Tissue,18-Mar,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792020,WGS,SAMN03300378,USDA-NVSL-DBL,public,SRX867682,Illumina MiSeq,250: 06-6079,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jun-79,SRP053287,PRJNA251692,520072166,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",438,749010876,Cattle,2006,Pathogen.cl,MB329,Mexico,North America,Mexico,Tissue,Jun-79,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791919,WGS,SAMN03300277,USDA-NVSL-DBL,public,SRX867581,Illumina MiSeq,250: 04-6082,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Apr-82,SRP053287,PRJNA251692,643936799,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",448,994576501,Cattle,2004,Pathogen.cl,MB228,USA,North America,USA:AZ,Tissue,Apr-82,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
