Name	n_Nucleotides	n_Sequences	Percent_GC	Percent_Identical Sites	Percent_Pairwise_Identity	Created	Created Date	Description	Free end gaps	Max Sequence Length	Mean Coverage	Min Sequence Length	Modified	Ref Seq Index	Ref Seq Length	Ref Seq Name	Sequence_Length	Size	Topology	URN
glgE.aln	1759017	851	64.4%	99.6%	100.0%	Tue Oct 05 22:15:22 EDT 2021	Tue Oct 05 22:15:22 EDT 2021	Alignment of 851 sequences	true	2067	851.0	2067	Wed Oct 06 07:28:28 EDT 2021	-1	0		2067	473 KB	linear	urn:local:.:oxq-dxz06zq
glgM.aln	569319	851	64.7%	99.4%	100.0%	Tue Oct 05 22:15:22 EDT 2021	Tue Oct 05 22:15:22 EDT 2021	Alignment of 851 sequences	true	669	851.0	669	Wed Oct 06 07:28:28 EDT 2021	-1	0		669	179 KB	linear	urn:local:.:oxr-dxz06zq
glgX.aln	1843266	851	61.7%	99.8%	100.0%	Tue Oct 05 22:15:22 EDT 2021	Tue Oct 05 22:15:22 EDT 2021	Alignment of 851 sequences	true	2166	851.0	2166	Wed Oct 06 07:28:27 EDT 2021	-1	0		2166	494 KB	linear	urn:local:.:oxs-dxz06zq
glmM.aln	1146297	851	69.5%	99.7%	100.0%	Tue Oct 05 22:15:23 EDT 2021	Tue Oct 05 22:15:23 EDT 2021	Alignment of 851 sequences	true	1347	851.0	1347	Wed Oct 06 07:28:27 EDT 2021	-1	0		1347	323 KB	linear	urn:local:.:oxt-dxz06zq
glmS.aln	1595625	851	66.7%	99.6%	100.0%	Tue Oct 05 22:15:23 EDT 2021	Tue Oct 05 22:15:23 EDT 2021	Alignment of 851 sequences	true	1875	851.0	1875	Wed Oct 06 07:28:27 EDT 2021	-1	0		1875	433 KB	linear	urn:local:.:oxu-dxz06zq
glmU.aln	1266288	851	67.5%	99.3%	100.0%	Tue Oct 05 22:15:24 EDT 2021	Tue Oct 05 22:15:24 EDT 2021	Alignment of 851 sequences	true	1488	851.0	1488	Wed Oct 06 07:28:27 EDT 2021	-1	0		1488	352 KB	linear	urn:local:.:oxv-dxz06zq
glnA1.aln	1222887	851	61.2%	99.9%	100.0%	Tue Oct 05 22:15:24 EDT 2021	Tue Oct 05 22:15:24 EDT 2021	Alignment of 851 sequences	true	1437	851.0	1437	Wed Oct 06 07:28:27 EDT 2021	-1	0		1437	342 KB	linear	urn:local:.:oxw-dxz06zq
glnA2.aln	1141191	851	63.8%	99.6%	100.0%	Tue Oct 05 22:15:24 EDT 2021	Tue Oct 05 22:15:24 EDT 2021	Alignment of 851 sequences	true	1341	851.0	1341	Wed Oct 06 07:28:27 EDT 2021	-1	0		1341	322 KB	linear	urn:local:.:oxx-dxz06zq
glnB.aln	288489	851	61.0%	99.4%	99.9%	Tue Oct 05 22:15:24 EDT 2021	Tue Oct 05 22:15:24 EDT 2021	Alignment of 851 sequences	true	339	851.0	339	Wed Oct 06 07:28:27 EDT 2021	-1	0		339	110 KB	linear	urn:local:.:oxy-dxz06zq
glnE.aln	2540235	851	68.5%	99.8%	100.0%	Tue Oct 05 22:15:25 EDT 2021	Tue Oct 05 22:15:25 EDT 2021	Alignment of 851 sequences	true	2985	851.0	2985	Wed Oct 06 07:28:26 EDT 2021	-1	0		2985	665 KB	linear	urn:local:.:oxz-dxz06zq
gloB_1.aln	541236	851	66.7%	99.5%	100.0%	Tue Oct 05 22:15:25 EDT 2021	Tue Oct 05 22:15:25 EDT 2021	Alignment of 851 sequences	true	636	851.0	636	Wed Oct 06 07:28:26 EDT 2021	-1	0		636	172 KB	linear	urn:local:.:oy0-dxz06zq
gloB_2.aln	676545	851	66.5%	99.5%	100.0%	Tue Oct 05 22:15:25 EDT 2021	Tue Oct 05 22:15:25 EDT 2021	Alignment of 851 sequences	true	795	851.0	795	Wed Oct 06 07:28:26 EDT 2021	-1	0		795	205 KB	linear	urn:local:.:oy1-dxz06zq
gloB_3.aln	696969	851	65.8%	99.8%	100.0%	Tue Oct 05 22:15:25 EDT 2021	Tue Oct 05 22:15:25 EDT 2021	Alignment of 851 sequences	true	819	851.0	819	Wed Oct 06 07:28:26 EDT 2021	-1	0		819	210 KB	linear	urn:local:.:oy2-dxz06zq
gloB_4.aln	676545	851	65.0%	99.9%	100.0%	Tue Oct 05 22:15:26 EDT 2021	Tue Oct 05 22:15:26 EDT 2021	Alignment of 851 sequences	true	795	851.0	795	Wed Oct 06 07:28:26 EDT 2021	-1	0		795	205 KB	linear	urn:local:.:oy3-dxz06zq
glpD1.aln	1314795	851	67.6%	99.7%	100.0%	Tue Oct 05 22:15:26 EDT 2021	Tue Oct 05 22:15:26 EDT 2021	Alignment of 851 sequences	true	1545	851.0	1545	Wed Oct 06 07:28:26 EDT 2021	-1	0		1545	365 KB	linear	urn:local:.:oy4-dxz06zq
glpD2.aln	1496058	851	66.8%	99.8%	100.0%	Tue Oct 05 22:15:26 EDT 2021	Tue Oct 05 22:15:26 EDT 2021	Alignment of 851 sequences	true	1758	851.0	1758	Wed Oct 06 07:28:26 EDT 2021	-1	0		1758	409 KB	linear	urn:local:.:oy5-dxz06zq
glpQ1.aln	702075	851	66.5%	99.3%	100.0%	Tue Oct 05 22:15:27 EDT 2021	Tue Oct 05 22:15:27 EDT 2021	Alignment of 851 sequences	true	825	851.0	825	Wed Oct 06 07:28:26 EDT 2021	-1	0		825	212 KB	linear	urn:local:.:oy6-dxz06zq
glpX.aln	926739	851	66.9%	100.0%	100.0%	Tue Oct 05 22:15:27 EDT 2021	Tue Oct 05 22:15:27 EDT 2021	Alignment of 851 sequences	true	1089	851.0	1089	Wed Oct 06 07:28:26 EDT 2021	-1	0		1089	269 KB	linear	urn:local:.:oy7-dxz06zq
gltA2.aln	1102896	851	62.5%	99.7%	100.0%	Tue Oct 05 22:15:27 EDT 2021	Tue Oct 05 22:15:27 EDT 2021	Alignment of 851 sequences	true	1296	851.0	1296	Wed Oct 06 07:28:26 EDT 2021	-1	0		1296	312 KB	linear	urn:local:.:oy8-dxz06zq
gltB.aln	3900984	851	64.0%	99.7%	100.0%	Tue Oct 05 22:15:27 EDT 2021	Tue Oct 05 22:15:27 EDT 2021	Alignment of 851 sequences	true	4584	851.0	4584	Wed Oct 06 07:28:25 EDT 2021	-1	0		4584	998 KB	linear	urn:local:.:oy9-dxz06zq
gltD.aln	1248417	851	65.1%	99.7%	100.0%	Tue Oct 05 22:15:28 EDT 2021	Tue Oct 05 22:15:28 EDT 2021	Alignment of 851 sequences	true	1467	851.0	1467	Wed Oct 06 07:28:25 EDT 2021	-1	0		1467	348 KB	linear	urn:local:.:oya-dxz06zq
gltX.aln	1253523	851	66.7%	99.7%	100.0%	Tue Oct 05 22:15:28 EDT 2021	Tue Oct 05 22:15:28 EDT 2021	Alignment of 851 sequences	true	1473	851.0	1473	Wed Oct 06 07:28:25 EDT 2021	-1	0		1473	350 KB	linear	urn:local:.:oyb-dxz06zq
glyA1.aln	228068	851	69.8%	54.5%	99.9%	Tue Oct 05 22:15:29 EDT 2021	Tue Oct 05 22:15:29 EDT 2021	Alignment of 851 sequences	true	268	851.0	268	Wed Oct 06 07:28:25 EDT 2021	-1	0		268	95 KB	linear	urn:local:.:oyc-dxz06zq
glyA2.aln	1087578	851	66.2%	99.5%	100.0%	Tue Oct 05 22:15:29 EDT 2021	Tue Oct 05 22:15:29 EDT 2021	Alignment of 851 sequences	true	1278	851.0	1278	Wed Oct 06 07:28:25 EDT 2021	-1	0		1278	309 KB	linear	urn:local:.:oyd-dxz06zq
glyQS.aln	1238205	851	61.2%	99.9%	100.0%	Tue Oct 05 22:15:29 EDT 2021	Tue Oct 05 22:15:29 EDT 2021	Alignment of 851 sequences	true	1455	851.0	1455	Wed Oct 06 07:28:25 EDT 2021	-1	0		1455	345 KB	linear	urn:local:.:oye-dxz06zq
gmhA.aln	530173	851	57.3%	99.0%	100.0%	Tue Oct 05 22:15:29 EDT 2021	Tue Oct 05 22:15:29 EDT 2021	Alignment of 851 sequences	true	623	851.0	623	Wed Oct 06 07:28:25 EDT 2021	-1	0		623	169 KB	linear	urn:local:.:oyf-dxz06zq
gmk.aln	533577	851	65.7%	99.5%	100.0%	Tue Oct 05 22:15:30 EDT 2021	Tue Oct 05 22:15:30 EDT 2021	Alignment of 851 sequences	true	627	851.0	627	Wed Oct 06 07:28:25 EDT 2021	-1	0		627	170 KB	linear	urn:local:.:oyg-dxz06zq
gnd.aln	176157	851	65.7%	99.0%	100.0%	Tue Oct 05 22:15:30 EDT 2021	Tue Oct 05 22:15:30 EDT 2021	Alignment of 851 sequences	true	207	851.0	207	Wed Oct 06 07:28:25 EDT 2021	-1	0		207	82 KB	linear	urn:local:.:oyh-dxz06zq
gpgP.aln	571872	851	66.7%	99.6%	100.0%	Tue Oct 05 22:15:30 EDT 2021	Tue Oct 05 22:15:30 EDT 2021	Alignment of 851 sequences	true	672	851.0	672	Wed Oct 06 07:28:24 EDT 2021	-1	0		672	179 KB	linear	urn:local:.:oyi-dxz06zq
gpgS.aln	829725	851	66.4%	99.7%	100.0%	Tue Oct 05 22:15:30 EDT 2021	Tue Oct 05 22:15:30 EDT 2021	Alignment of 851 sequences	true	975	851.0	975	Wed Oct 06 07:28:24 EDT 2021	-1	0		975	243 KB	linear	urn:local:.:oyj-dxz06zq
gpm2.aln	520812	851	65.2%	99.5%	100.0%	Tue Oct 05 22:15:30 EDT 2021	Tue Oct 05 22:15:30 EDT 2021	Alignment of 851 sequences	true	612	851.0	612	Wed Oct 06 07:28:24 EDT 2021	-1	0		612	167 KB	linear	urn:local:.:oyk-dxz06zq
gpmA.aln	163392	851	68.8%	100.0%	100.0%	Tue Oct 05 22:15:31 EDT 2021	Tue Oct 05 22:15:31 EDT 2021	Alignment of 851 sequences	true	192	851.0	192	Wed Oct 06 07:28:24 EDT 2021	-1	0		192	79 KB	linear	urn:local:.:oyl-dxz06zq
gpsA2.aln	898656	851	65.5%	99.7%	100.0%	Tue Oct 05 22:15:31 EDT 2021	Tue Oct 05 22:15:31 EDT 2021	Alignment of 851 sequences	true	1056	851.0	1056	Wed Oct 06 07:28:24 EDT 2021	-1	0		1056	262 KB	linear	urn:local:.:oym-dxz06zq
gpsA.aln	556554	851	67.7%	99.8%	100.0%	Tue Oct 05 22:15:31 EDT 2021	Tue Oct 05 22:15:31 EDT 2021	Alignment of 851 sequences	true	654	851.0	654	Wed Oct 06 07:28:24 EDT 2021	-1	0		654	176 KB	linear	urn:local:.:oyn-dxz06zq
greA.aln	421245	851	63.4%	99.8%	100.0%	Tue Oct 05 22:15:31 EDT 2021	Tue Oct 05 22:15:31 EDT 2021	Alignment of 851 sequences	true	495	851.0	495	Wed Oct 06 07:28:24 EDT 2021	-1	0		495	142 KB	linear	urn:local:.:oyo-dxz06zq
groEL1.aln	1378620	851	65.1%	99.7%	100.0%	Tue Oct 05 22:15:31 EDT 2021	Tue Oct 05 22:15:31 EDT 2021	Alignment of 851 sequences	true	1620	851.0	1620	Wed Oct 06 07:28:24 EDT 2021	-1	0		1620	380 KB	linear	urn:local:.:oyp-dxz06zq
groEL2.aln	1381173	851	65.4%	99.7%	100.0%	Tue Oct 05 22:15:32 EDT 2021	Tue Oct 05 22:15:32 EDT 2021	Alignment of 851 sequences	true	1623	851.0	1623	Wed Oct 06 07:28:24 EDT 2021	-1	0		1623	380 KB	linear	urn:local:.:oyq-dxz06zq
groS.aln	257853	851	63.4%	99.7%	100.0%	Tue Oct 05 22:15:32 EDT 2021	Tue Oct 05 22:15:32 EDT 2021	Alignment of 851 sequences	true	303	851.0	303	Wed Oct 06 07:28:24 EDT 2021	-1	0		303	102 KB	linear	urn:local:.:oyr-dxz06zq
group_0.aln	7835157	851	69.3%	99.6%	100.0%	Tue Oct 05 22:15:32 EDT 2021	Tue Oct 05 22:15:32 EDT 2021	Alignment of 851 sequences	true	9207	851.0	9207	Wed Oct 06 07:28:23 EDT 2021	-1	0		9207	"1,964 KB"	linear	urn:local:.:oys-dxz06zq
group_1.aln	439116	851	60.7%	98.8%	100.0%	Tue Oct 05 22:15:34 EDT 2021	Tue Oct 05 22:15:34 EDT 2021	Alignment of 851 sequences	true	516	851.0	516	Wed Oct 06 07:28:23 EDT 2021	-1	0		516	147 KB	linear	urn:local:.:oyt-dxz06zr
group_2.aln	439116	851	66.7%	100.0%	100.0%	Tue Oct 05 22:17:54 EDT 2021	Tue Oct 05 22:17:54 EDT 2021	Alignment of 851 sequences	true	516	851.0	516	Wed Oct 06 07:28:23 EDT 2021	-1	0		516	147 KB	linear	urn:local:.:oyu-dxz06zr
group_3.aln	439116	851	67.8%	99.0%	100.0%	Tue Oct 05 22:19:17 EDT 2021	Tue Oct 05 22:19:17 EDT 2021	Alignment of 851 sequences	true	516	851.0	516	Wed Oct 06 07:28:23 EDT 2021	-1	0		516	147 KB	linear	urn:local:.:oyv-dxz06zr
group_4.aln	796536	851	64.2%	99.5%	100.0%	Tue Oct 05 22:19:33 EDT 2021	Tue Oct 05 22:19:33 EDT 2021	Alignment of 851 sequences	true	936	851.0	936	Wed Oct 06 07:28:23 EDT 2021	-1	0		936	234 KB	linear	urn:local:.:oyw-dxz06zr
group_5.aln	796536	851	64.6%	99.6%	100.0%	Tue Oct 05 22:19:51 EDT 2021	Tue Oct 05 22:19:51 EDT 2021	Alignment of 851 sequences	true	936	851.0	936	Wed Oct 06 07:28:23 EDT 2021	-1	0		936	234 KB	linear	urn:local:.:oyx-dxz06zr
group_7.aln	617826	851	66.4%	99.6%	100.0%	Tue Oct 05 22:20:27 EDT 2021	Tue Oct 05 22:20:27 EDT 2021	Alignment of 851 sequences	true	726	851.0	726	Wed Oct 06 07:28:23 EDT 2021	-1	0		726	191 KB	linear	urn:local:.:oyy-dxz06zr
group_8.aln	793983	851	66.8%	99.2%	100.0%	Tue Oct 05 22:20:46 EDT 2021	Tue Oct 05 22:20:46 EDT 2021	Alignment of 851 sequences	true	933	851.0	933	Wed Oct 06 07:28:23 EDT 2021	-1	0		933	234 KB	linear	urn:local:.:oyz-dxz06zr
group_9.aln	793983	851	65.1%	99.5%	100.0%	Tue Oct 05 22:21:04 EDT 2021	Tue Oct 05 22:21:04 EDT 2021	Alignment of 851 sequences	true	933	851.0	933	Wed Oct 06 07:28:23 EDT 2021	-1	0		933	234 KB	linear	urn:local:.:oz0-dxz06zr
group_10.aln	558256	851	65.2%	99.8%	100.0%	Tue Oct 05 22:15:34 EDT 2021	Tue Oct 05 22:15:34 EDT 2021	Alignment of 851 sequences	true	656	851.0	656	Wed Oct 06 07:28:22 EDT 2021	-1	0		656	176 KB	linear	urn:local:.:oz1-dxz06zr
group_11.aln	793983	851	69.0%	99.1%	100.0%	Tue Oct 05 22:15:51 EDT 2021	Tue Oct 05 22:15:51 EDT 2021	Alignment of 851 sequences	true	933	851.0	933	Wed Oct 06 07:28:22 EDT 2021	-1	0		933	234 KB	linear	urn:local:.:oz2-dxz06zr
group_12.aln	234876	851	67.8%	99.6%	100.0%	Tue Oct 05 22:16:03 EDT 2021	Tue Oct 05 22:16:03 EDT 2021	Alignment of 851 sequences	true	276	851.0	276	Wed Oct 06 07:28:22 EDT 2021	-1	0		276	96 KB	linear	urn:local:.:oz3-dxz06zr
group_13.aln	234876	851	59.8%	100.0%	100.0%	Tue Oct 05 22:16:16 EDT 2021	Tue Oct 05 22:16:16 EDT 2021	Alignment of 851 sequences	true	276	851.0	276	Wed Oct 06 07:28:22 EDT 2021	-1	0		276	96 KB	linear	urn:local:.:oz4-dxz06zr
group_14.aln	234876	851	63.4%	100.0%	100.0%	Tue Oct 05 22:16:31 EDT 2021	Tue Oct 05 22:16:31 EDT 2021	Alignment of 851 sequences	true	276	851.0	276	Wed Oct 06 07:28:22 EDT 2021	-1	0		276	96 KB	linear	urn:local:.:oz5-dxz06zr
group_15.aln	436563	851	67.6%	100.0%	100.0%	Tue Oct 05 22:16:44 EDT 2021	Tue Oct 05 22:16:44 EDT 2021	Alignment of 851 sequences	true	513	851.0	513	Wed Oct 06 07:28:22 EDT 2021	-1	0		513	147 KB	linear	urn:local:.:oz6-dxz06zr
group_17.aln	791430	851	67.0%	99.5%	100.0%	Tue Oct 05 22:17:07 EDT 2021	Tue Oct 05 22:17:07 EDT 2021	Alignment of 851 sequences	true	930	851.0	930	Wed Oct 06 07:28:22 EDT 2021	-1	0		930	233 KB	linear	urn:local:.:oz7-dxz06zr
group_18.aln	788877	851	69.0%	99.7%	100.0%	Tue Oct 05 22:17:18 EDT 2021	Tue Oct 05 22:17:18 EDT 2021	Alignment of 851 sequences	true	927	851.0	927	Wed Oct 06 07:28:22 EDT 2021	-1	0		927	233 KB	linear	urn:local:.:oz8-dxz06zr
group_19.aln	786324	851	64.9%	99.7%	100.0%	Tue Oct 05 22:17:35 EDT 2021	Tue Oct 05 22:17:35 EDT 2021	Alignment of 851 sequences	true	924	851.0	924	Wed Oct 06 07:28:22 EDT 2021	-1	0		924	232 KB	linear	urn:local:.:oz9-dxz06zr
group_21.aln	232323	851	65.4%	99.6%	99.8%	Tue Oct 05 22:18:16 EDT 2021	Tue Oct 05 22:18:16 EDT 2021	Alignment of 851 sequences	true	273	851.0	273	Wed Oct 06 07:28:22 EDT 2021	-1	0		273	96 KB	linear	urn:local:.:oza-dxz06zr
group_24.aln	232323	851	61.5%	99.6%	100.0%	Tue Oct 05 22:19:04 EDT 2021	Tue Oct 05 22:19:04 EDT 2021	Alignment of 851 sequences	true	273	851.0	273	Wed Oct 06 07:28:22 EDT 2021	-1	0		273	96 KB	linear	urn:local:.:ozb-dxz06zr
group_25.aln	232323	851	64.5%	99.3%	100.0%	Tue Oct 05 22:19:06 EDT 2021	Tue Oct 05 22:19:06 EDT 2021	Alignment of 851 sequences	true	273	851.0	273	Wed Oct 06 07:28:21 EDT 2021	-1	0		273	96 KB	linear	urn:local:.:ozc-dxz06zr
group_26.aln	232323	851	63.7%	99.3%	100.0%	Tue Oct 05 22:19:09 EDT 2021	Tue Oct 05 22:19:09 EDT 2021	Alignment of 851 sequences	true	273	851.0	273	Wed Oct 06 07:28:21 EDT 2021	-1	0		273	96 KB	linear	urn:local:.:ozd-dxz06zr
group_27.aln	232323	851	61.5%	100.0%	100.0%	Tue Oct 05 22:19:11 EDT 2021	Tue Oct 05 22:19:11 EDT 2021	Alignment of 851 sequences	true	273	851.0	273	Wed Oct 06 07:28:21 EDT 2021	-1	0		273	96 KB	linear	urn:local:.:oze-dxz06zr
group_29.aln	783771	851	68.4%	99.8%	100.0%	Tue Oct 05 22:19:15 EDT 2021	Tue Oct 05 22:19:15 EDT 2021	Alignment of 851 sequences	true	921	851.0	921	Wed Oct 06 07:28:21 EDT 2021	-1	0		921	232 KB	linear	urn:local:.:ozf-dxz06zr
group_30.aln	434010	851	66.9%	99.6%	100.0%	Tue Oct 05 22:19:17 EDT 2021	Tue Oct 05 22:19:17 EDT 2021	Alignment of 851 sequences	true	510	851.0	510	Wed Oct 06 07:28:21 EDT 2021	-1	0		510	146 KB	linear	urn:local:.:ozg-dxz06zr
group_31.aln	434010	851	71.9%	99.6%	100.0%	Tue Oct 05 22:19:19 EDT 2021	Tue Oct 05 22:19:19 EDT 2021	Alignment of 851 sequences	true	510	851.0	510	Wed Oct 06 07:28:21 EDT 2021	-1	0		510	146 KB	linear	urn:local:.:ozh-dxz06zr
group_33.aln	781218	851	63.2%	99.7%	100.0%	Tue Oct 05 22:19:22 EDT 2021	Tue Oct 05 22:19:22 EDT 2021	Alignment of 851 sequences	true	918	851.0	918	Wed Oct 06 07:28:21 EDT 2021	-1	0		918	231 KB	linear	urn:local:.:ozi-dxz06zr
group_35.aln	307211	851	67.6%	99.4%	100.0%	Tue Oct 05 22:19:26 EDT 2021	Tue Oct 05 22:19:26 EDT 2021	Alignment of 851 sequences	true	361	851.0	361	Wed Oct 06 07:28:21 EDT 2021	-1	0		361	115 KB	linear	urn:local:.:ozj-dxz06zr
group_36.aln	431457	851	65.3%	99.4%	100.0%	Tue Oct 05 22:19:27 EDT 2021	Tue Oct 05 22:19:27 EDT 2021	Alignment of 851 sequences	true	507	851.0	507	Wed Oct 06 07:28:21 EDT 2021	-1	0		507	145 KB	linear	urn:local:.:ozk-dxz06zr
group_37.aln	431457	851	69.2%	99.8%	99.9%	Tue Oct 05 22:19:29 EDT 2021	Tue Oct 05 22:19:29 EDT 2021	Alignment of 851 sequences	true	507	851.0	507	Wed Oct 06 07:28:21 EDT 2021	-1	0		507	145 KB	linear	urn:local:.:ozl-dxz06zr
group_38.aln	431457	851	65.5%	100.0%	100.0%	Tue Oct 05 22:19:30 EDT 2021	Tue Oct 05 22:19:30 EDT 2021	Alignment of 851 sequences	true	507	851.0	507	Wed Oct 06 07:28:21 EDT 2021	-1	0		507	145 KB	linear	urn:local:.:ozm-dxz06zr
group_41.aln	778665	851	66.2%	99.8%	100.0%	Tue Oct 05 22:19:35 EDT 2021	Tue Oct 05 22:19:35 EDT 2021	Alignment of 851 sequences	true	915	851.0	915	Wed Oct 06 07:28:20 EDT 2021	-1	0		915	230 KB	linear	urn:local:.:ozn-dxz06zr
group_42.aln	778665	851	67.6%	99.5%	100.0%	Tue Oct 05 22:19:38 EDT 2021	Tue Oct 05 22:19:38 EDT 2021	Alignment of 851 sequences	true	915	851.0	915	Wed Oct 06 07:28:20 EDT 2021	-1	0		915	230 KB	linear	urn:local:.:ozo-dxz06zr
group_43.aln	778665	851	68.7%	100.0%	100.0%	Tue Oct 05 22:19:39 EDT 2021	Tue Oct 05 22:19:39 EDT 2021	Alignment of 851 sequences	true	915	851.0	915	Wed Oct 06 07:28:20 EDT 2021	-1	0		915	230 KB	linear	urn:local:.:ozp-dxz06zr
group_44.aln	778665	851	68.5%	99.2%	100.0%	Tue Oct 05 22:19:41 EDT 2021	Tue Oct 05 22:19:41 EDT 2021	Alignment of 851 sequences	true	915	851.0	915	Wed Oct 06 07:28:20 EDT 2021	-1	0		915	230 KB	linear	urn:local:.:ozq-dxz06zr
group_46.aln	778665	851	68.1%	99.5%	100.0%	Tue Oct 05 22:19:44 EDT 2021	Tue Oct 05 22:19:44 EDT 2021	Alignment of 851 sequences	true	915	851.0	915	Wed Oct 06 07:28:20 EDT 2021	-1	0		915	230 KB	linear	urn:local:.:ozr-dxz06zr
group_47.aln	694416	851	65.7%	99.5%	100.0%	Tue Oct 05 22:19:46 EDT 2021	Tue Oct 05 22:19:46 EDT 2021	Alignment of 851 sequences	true	816	851.0	816	Wed Oct 06 07:28:20 EDT 2021	-1	0		816	209 KB	linear	urn:local:.:ozs-dxz06zr
group_48.aln	776112	851	61.7%	99.7%	100.0%	Tue Oct 05 22:19:48 EDT 2021	Tue Oct 05 22:19:48 EDT 2021	Alignment of 851 sequences	true	912	851.0	912	Wed Oct 06 07:28:20 EDT 2021	-1	0		912	229 KB	linear	urn:local:.:ozt-dxz06zr
group_49.aln	776112	851	69.6%	99.6%	100.0%	Tue Oct 05 22:19:50 EDT 2021	Tue Oct 05 22:19:50 EDT 2021	Alignment of 851 sequences	true	912	851.0	912	Wed Oct 06 07:28:20 EDT 2021	-1	0		912	229 KB	linear	urn:local:.:ozu-dxz06zr
group_50.aln	229770	851	60.7%	99.3%	100.0%	Tue Oct 05 22:19:52 EDT 2021	Tue Oct 05 22:19:52 EDT 2021	Alignment of 851 sequences	true	270	851.0	270	Wed Oct 06 07:28:20 EDT 2021	-1	0		270	96 KB	linear	urn:local:.:ozv-dxz06zr
group_51.aln	229770	851	69.6%	98.9%	100.0%	Tue Oct 05 22:19:54 EDT 2021	Tue Oct 05 22:19:54 EDT 2021	Alignment of 851 sequences	true	270	851.0	270	Wed Oct 06 07:28:20 EDT 2021	-1	0		270	96 KB	linear	urn:local:.:ozw-dxz06zr
group_52.aln	428904	851	67.3%	99.6%	100.0%	Tue Oct 05 22:19:55 EDT 2021	Tue Oct 05 22:19:55 EDT 2021	Alignment of 851 sequences	true	504	851.0	504	Wed Oct 06 07:28:20 EDT 2021	-1	0		504	144 KB	linear	urn:local:.:ozx-dxz06zr
group_54.aln	428904	851	60.7%	99.6%	100.0%	Tue Oct 05 22:19:59 EDT 2021	Tue Oct 05 22:19:59 EDT 2021	Alignment of 851 sequences	true	504	851.0	504	Wed Oct 06 07:28:19 EDT 2021	-1	0		504	144 KB	linear	urn:local:.:ozy-dxz06zr
group_55.aln	428904	851	65.5%	99.4%	100.0%	Tue Oct 05 22:20:01 EDT 2021	Tue Oct 05 22:20:01 EDT 2021	Alignment of 851 sequences	true	504	851.0	504	Wed Oct 06 07:28:19 EDT 2021	-1	0		504	144 KB	linear	urn:local:.:ozz-dxz06zr
group_56.aln	773559	851	68.5%	99.7%	100.0%	Tue Oct 05 22:20:03 EDT 2021	Tue Oct 05 22:20:03 EDT 2021	Alignment of 851 sequences	true	909	851.0	909	Wed Oct 06 07:28:19 EDT 2021	-1	0		909	229 KB	linear	urn:local:.:p00-dxz06zr
group_57.aln	773559	851	65.9%	99.6%	100.0%	Tue Oct 05 22:20:05 EDT 2021	Tue Oct 05 22:20:05 EDT 2021	Alignment of 851 sequences	true	909	851.0	909	Wed Oct 06 07:28:19 EDT 2021	-1	0		909	229 KB	linear	urn:local:.:p01-dxz06zr
group_59.aln	771006	851	64.0%	99.4%	100.0%	Tue Oct 05 22:20:09 EDT 2021	Tue Oct 05 22:20:09 EDT 2021	Alignment of 851 sequences	true	906	851.0	906	Wed Oct 06 07:28:19 EDT 2021	-1	0		906	228 KB	linear	urn:local:.:p02-dxz06zr
group_60.aln	771006	851	63.4%	100.0%	100.0%	Tue Oct 05 22:20:10 EDT 2021	Tue Oct 05 22:20:10 EDT 2021	Alignment of 851 sequences	true	906	851.0	906	Wed Oct 06 07:28:19 EDT 2021	-1	0		906	228 KB	linear	urn:local:.:p03-dxz06zr
group_61.aln	130203	851	68.9%	41.2%	72.7%	Tue Oct 05 22:20:12 EDT 2021	Tue Oct 05 22:20:12 EDT 2021	Alignment of 851 sequences	true	153	851.0	153	Wed Oct 06 07:28:19 EDT 2021	-1	0		153	71 KB	linear	urn:local:.:p04-dxz06zr
group_62.aln	81696	851	62.5%	99.0%	100.0%	Tue Oct 05 22:20:14 EDT 2021	Tue Oct 05 22:20:14 EDT 2021	Alignment of 851 sequences	true	96	851.0	96	Wed Oct 06 07:28:19 EDT 2021	-1	0		96	59 KB	linear	urn:local:.:p05-dxz06zr
group_66.aln	426351	851	63.5%	99.8%	100.0%	Tue Oct 05 22:20:20 EDT 2021	Tue Oct 05 22:20:20 EDT 2021	Alignment of 851 sequences	true	501	851.0	501	Wed Oct 06 07:28:19 EDT 2021	-1	0		501	144 KB	linear	urn:local:.:p06-dxz06zr
group_67.aln	426351	851	63.9%	100.0%	100.0%	Tue Oct 05 22:20:22 EDT 2021	Tue Oct 05 22:20:22 EDT 2021	Alignment of 851 sequences	true	501	851.0	501	Wed Oct 06 07:28:19 EDT 2021	-1	0		501	144 KB	linear	urn:local:.:p07-dxz06zr
group_69.aln	426351	851	61.9%	99.4%	100.0%	Tue Oct 05 22:20:26 EDT 2021	Tue Oct 05 22:20:26 EDT 2021	Alignment of 851 sequences	true	501	851.0	501	Wed Oct 06 07:28:19 EDT 2021	-1	0		501	144 KB	linear	urn:local:.:p08-dxz06zr
group_70.aln	426351	851	60.5%	99.8%	100.0%	Tue Oct 05 22:20:27 EDT 2021	Tue Oct 05 22:20:27 EDT 2021	Alignment of 851 sequences	true	501	851.0	501	Wed Oct 06 07:28:19 EDT 2021	-1	0		501	144 KB	linear	urn:local:.:p09-dxz06zr
