"","Sequence_ID","Assembly","X..contigs.....0.bp.","X..contigs.....1000.bp.","X..contigs.....5000.bp.","X..contigs.....10000.bp.","X..contigs.....25000.bp.","X..contigs.....50000.bp.","Total.length.....0.bp.","Total.length.....1000.bp.","Total.length.....5000.bp.","Total.length.....10000.bp.","Total.length.....25000.bp.","Total.length.....50000.bp.","X..contigs","Largest.contig","Total.length","Reference.length","GC....","Reference.GC....","N50","NG50","N75","NG75","L50","LG50","L75","LG75","X..misassemblies","X..misassembled.contigs","Misassembled.contigs.length","X..local.misassemblies","X..scaffold.gap.ext..mis.","X..scaffold.gap.loc..mis.","X..unaligned.mis..contigs","X..unaligned.contigs","Unaligned.length","Genome.fraction....","Duplication.ratio","X..N.s.per.100.kbp","X..mismatches.per.100.kbp","X..indels.per.100.kbp","X..genomic.features","Largest.alignment","Total.aligned.length","NA50","NGA50","NA75","NGA75","LA50","LGA50","LA75","LGA75contigs"
"166","SAMN03300275_assembled"," contigs ",150,92,67,62,49,32,4334542,4310137,4267004,4227718,4021361,3390270,110,236810,4323161,4349904,65.59,65.63,84155,84155,51732,51732,14,14,30,30,3,3,69223,17,0,0,0," 1 + 1 part ",2731,99.12,1.002,0,9.46,1.93," 7958 + 161 part ",236810,4315787,84152,84152,51732,51732,14,"14",30," 30 \\ \hline"
"167","SAMN03300277_assembled"," contigs ",153,91,67,62,49,30,4329524,4301010,4252002,4215705,4017389,3298479,110,236807,4313975,4349904,65.57,65.63,102030,102030,51731,51490,14,14,29,30,7,6,239206,13,0,0,0," 1 + 0 part ",540,98.964,1.002,0,9.29,1.58," 7946 + 175 part ",236807,4307815,98885,98885,51263,51263,14,"14",30," 30 \\ \hline"
"168","SAMN03300285_assembled"," contigs ",138,92,67,64,50,29,4323354,4301174,4248952,4228196,4013205,3246333,110,236107,4314304,4349904,65.57,65.63,111678,111678,50063,48855,13,13,29,30,1,1,74981,13,0,0,0," 0 + 0 part ",0,99.017,1.002,0,8.85,1.95," 7960 + 159 part ",236107,4309646,111678,111678,48674,48674,13,"13",30," 30 \\ \hline"
"169","SAMN03300287_assembled"," contigs ",157,91,67,64,48,30,4318538,4289027,4240042,4216267,3974188,3298886,110,235980,4302094,4349904,65.56,65.63,98885,96386,52352,51061,13,14,29,30,2,2,120627,16,0,0,0," 0 + 0 part ",0,98.697,1.002,0,15.68,2.07," 7914 + 169 part ",235980,4295306,83645,83645,51061,49885,14,"14",30," 31 \\ \hline"
"170","SAMN03300312_assembled"," contigs ",150,89,69,65,49,33,4317855,4291506,4254491,4225473,3963852,3372724,110,319309,4305409,4349904,65.56,65.63,83759,83759,52477,52477,15,15,31,31,2,2,163497,13,0,0,0," 3 + 0 part ",1587,98.766,1.002,0,16.08,2.12," 7932 + 157 part ",319177,4297896,83759,83759,51050,50909,15,"15",31," 32 \\ \hline"
"171","SAMN03300374_assembled"," contigs ",151,95,72,67,52,28,4327202,4302331,4257415,4221911,3973310,3088607,110,227646,4312773,4349904,65.54,65.63,98885,90274,48240,46055,14,15,31,32,4,4,186593,10,0,0,0," 0 + 1 part ",1574,98.872,1.002,0,9.74,1.56," 7958 + 161 part ",227646,4303119,98885,83800,45932,45932,14,"15",32," 32 \\ \hline"
"172","SAMN03300384_assembled"," contigs ",187,89,71,66,48,31,4341167,4296396,4257083,4218160,3920888,3310322,110,236735,4311488,4349904,65.55,65.63,96368,96368,52361,51468,14,14,30,31,9,9,410723,10,0,0,0," 1 + 0 part ",545,98.883,1.002,0,12.02,1.65," 7960 + 159 part ",236735,4304060,92889,92889,49540,48737,15,"15",31," 32 \\ \hline"
"173","SAMN03300448_assembled"," contigs ",141,90,68,64,49,31,4326560,4302720,4259511,4229274,3978975,3298230,110,248585,4316762,4349904,65.57,65.63,96386,96386,51076,50069,14,14,30,31,0,0,0,9,0,0,0," 0 + 0 part ",0,99.067,1.002,0,9.35,1.72," 7962 + 159 part ",248585,4311969,96386,96386,51076,50048,14,"14",30," 31 \\ \hline"
"174","SAMN03300466_assembled"," contigs ",145,91,68,64,48,28,4293700,4269054,4222787,4192399,3916814,3134472,110,257057,4282934,4349904,65.58,65.63,91795,91795,49616,48702,14,14,30,31,8,7,235421,12,0,0,0," 0 + 2 part ",2808,98.218,1.002,0,17.88,3," 7892 + 159 part ",256574,4274880,83848,83848,47802,46072,14,"14",31," 32 \\ \hline"
"175","SAMN03300473_assembled"," contigs ",148,91,67,61,49,31,4329043,4303767,4259217,4214528,4008928,3340112,110,236625,4316808,4349904,65.57,65.63,101852,101852,52180,51047,13,13,29,30,3,2,48517,11,0,0,0," 0 + 0 part ",0,99.032,1.002,0,10.17,1.86," 7962 + 157 part ",236625,4311060,101397,101397,51047,51047,13,"13",30," 30 \\ \hline"
"176","SAMN03300687_assembled"," contigs ",147,95,73,69,52,33,4309925,4287908,4243082,4212575,3935432,3273727,110,227649,4299126,4349904,65.57,65.63,85904,85904,50701,50701,16,16,33,33,5,5,533571,15,0,0,0," 0 + 0 part ",0,98.659,1.002,0,14.68,2.45," 7910 + 167 part ",227649,4293721,76421,76421,48322,41326,17,"17",34," 35 \\ \hline"
"177","SAMN03300700_assembled"," contigs ",160,95,73,66,48,31,4322985,4296402,4252341,4202873,3904650,3290445,110,236089,4307443,4349904,65.59,65.63,99989,99989,51727,51050,15,15,30,31,4,4,195658,17,0,0,0," 2 + 0 part ",1126,98.781,1.002,0,14.59,2.35," 7922 + 165 part ",236089,4299478,99955,99955,51050,51050,15,"15",31," 31 \\ \hline"
"178","SAMN03300734_assembled"," contigs ",138,91,66,63,47,29,4313271,4291383,4243767,4222140,3968114,3258237,110,227591,4304773,4349904,65.57,65.63,100101,100101,53403,49444,14,14,29,30,3,3,140279,15,0,0,0," 0 + 0 part ",0,98.787,1.002,0,15.17,2.12," 7926 + 163 part ",227591,4298674,98885,83805,49444,49444,14,"15",30," 30 \\ \hline"
"179","SAMN03300762_assembled"," contigs ",178,88,67,62,52,27,4328324,4289541,4249865,4212974,4054743,3113590,110,220952,4304336,4349904,65.55,65.63,107505,98884,46535,46106,13,14,30,31,9,7,322907,12,0,0,0," 3 + 0 part ",1960,98.727,1.002,0,13.27,2.12," 7922 + 163 part ",220919,4296709,83817,80663,45990,44923,14,"15",32," 33 \\ \hline"
"180","SAMN03300776_assembled"," contigs ",140,97,71,68,47,30,4309846,4292186,4241189,4220298,3885632,3219182,110,224983,4301141,4349904,65.56,65.63,84067,81177,49820,49820,13,14,31,31,5,5,358539,14,0,0,0," 0 + 0 part ",0,98.674,1.002,0,14.3,2.1," 7912 + 175 part ",224983,4294385,80977,80977,49820,48084,14,"14",31," 32 \\ \hline"
"181","SAMN03300794_assembled"," contigs ",161,100,71,65,50,29,4306377,4285083,4223366,4183913,3961884,3178726,110,227591,4292580,4349904,65.53,65.63,98885,98885,49332,48538,14,14,30,31,6,6,295347,14,0,0,0," 0 + 0 part ",0,98.485,1.002,0,14.75,2.12," 7900 + 181 part ",227591,4285513,83745,83745,48041,46207,15,"15",32," 33 \\ \hline"
"182","SAMN10966202_assembled"," contigs ",306,90,63,58,47,31,4373120,4318624,4263434,4231349,4061753,3485984,110,234464,4332884,4349904,65.61,65.63,102454,102454,60620,60620,14,14,27,27,4,4,177586,10,0,0,0," 0 + 0 part ",0,98.978,1.006,0,4.71,1.28," 7948 + 141 part ",234464,4330632,102394,102394,60620,60620,14,"14",27," 27 \\ \hline"
"183","SAMN03300060_assembled"," contigs ",147,94,68,65,50,28,4325594,4302015,4245760,4224872,3967199,3124026,111,236627,4313779,4349904,65.56,65.63,98885,96386,48437,48437,14,15,31,31,4,4,140156,14,0,0,0," 0 + 0 part ",0,98.968,1.002,0,9.76,1.79," 7962 + 161 part ",236627,4306477,98885,96386,48433,46705,14,"15",31," 32 \\ \hline"
"184","SAMN03300158_assembled"," contigs ",142,97,74,68,54,31,4311294,4292006,4246986,4201723,3982412,3120437,111,256684,4301690,4349904,65.56,65.63,75661,75661,48016,48016,16,16,34,34,2,2,125132,16,0,0,0," 0 + 0 part ",0,98.72,1.002,0,14.72,2.38," 7920 + 167 part ",256554,4296593,75359,75359,47962,47962,16,"16",34," 34 \\ \hline"
"185","SAMN03300181_assembled"," contigs ",152,93,71,65,49,28,4307462,4282146,4236090,4192398,3934574,3174576,111,248112,4295381,4349904,65.56,65.63,107041,98893,48410,44758,13,14,29,30,6,6,833945,16,0,0,0," 0 + 0 part ",0,98.559,1.002,0,16.21,2.59," 7902 + 177 part ",248112,4289968,82358,82358,44346,41286,15,"15",33," 34 \\ \hline"
"186","SAMN03300193_assembled"," contigs ",151,92,70,68,49,29,4315125,4289528,4245769,4234654,3943361,3221362,111,292323,4303200,4349904,65.54,65.63,96368,96368,48626,48626,14,14,30,30,5,4,233208,14,0,0,0," 0 + 0 part ",0,98.755,1.002,0,9.99,1.68," 7944 + 177 part ",292134,4297657,96368,96368,48623,48623,14,"14",30," 30 \\ \hline"
"187","SAMN03300246_assembled"," contigs ",150,95,69,67,52,32,4312505,4288806,4243833,4229235,3980471,3222796,111,200673,4299698,4349904,65.56,65.63,88552,88552,48932,48932,15,15,33,33,11,8,303131,15,0,0,0," 1 + 0 part ",501,98.641,1.002,0,16.83,2.28," 7904 + 173 part ",200673,4293407,80579,77843,48531,48165,16,"17",34," 35 \\ \hline"
"188","SAMN03300516_assembled"," contigs ",152,94,68,65,52,30,4320184,4296640,4247122,4223750,4015522,3186069,111,256659,4308889,4349904,65.56,65.63,92896,92896,49849,49827,15,15,31,32,6,5,207389,8,0,0,0," 0 + 0 part ",0,98.893,1.002,0,9.07,1.63," 7952 + 171 part ",256545,4304138,92879,92879,45455,44960,15,"15",32," 33 \\ \hline"
"189","SAMN03300536_assembled"," contigs ",143,91,68,64,48,29,4331650,4307523,4260099,4233011,3981053,3283219,111,248585,4321244,4349904,65.58,65.63,98885,98885,50023,50023,14,14,29,29,1,1,2258,10,0,0,0," 0 + 0 part ",0,99.169,1.002,0,8.86,1.72," 7966 + 153 part ",248585,4318051,98885,98885,49707,49707,14,"14",29," 29 \\ \hline"
"190","SAMN03300624_assembled"," contigs ",150,94,70,66,50,29,4314468,4289501,4240814,4212199,3946019,3171987,111,224983,4301531,4349904,65.56,65.63,88496,88496,48226,48226,14,14,31,31,4,4,151389,10,0,0,0," 0 + 0 part ",0,98.665,1.002,0,14.68,2.17," 7916 + 167 part ",224983,4294012,83832,82978,48031,45988,14,"15",31," 32 \\ \hline"
"191","SAMN03300632_assembled"," contigs ",189,82,56,52,43,28,4349033,4301581,4252092,4222126,4066329,3481704,111,328855,4321489,4349904,65.55,65.63,133487,122354,64237,62086,11,12,24,25,4,4,445714,12,0,0,0," 15 + 0 part ",12635,98.915,1.001,0,13.92,2.63," 7958 + 133 part ",249042,4305274,133395,122232,62005,62005,12,"13",26," 26 \\ \hline"
"192","SAMN03300647_assembled"," contigs ",168,92,68,61,45,27,4316182,4285041,4238638,4191491,3930385,3250986,111,235980,4298798,4349904,65.55,65.63,103534,103534,52352,49877,13,13,27,28,11,8,532091,19,0,0,0," 0 + 0 part ",0,98.644,1.002,0,15.57,2.05," 7904 + 181 part ",235980,4292928,96439,96439,48297,48297,14,"14",30," 30 \\ \hline"
"193","SAMN03300705_assembled"," contigs ",163,92,67,63,50,32,4311033,4280268,4227279,4196911,3997765,3320965,111,218390,4293284,4349904,65.55,65.63,96329,96329,51704,51704,15,15,31,31,6,6,476798,15,0,0,0," 0 + 2 part ",2334,98.482,1.002,0,15.27,2.5," 7904 + 179 part ",205719,4286974,87777,87777,50069,48659,16,"16",32," 33 \\ \hline"
"194","SAMN03300751_assembled"," contigs ",140,92,67,60,47,29,4316327,4294795,4245610,4189940,3967732,3254011,111,235980,4307479,4349904,65.57,65.63,102830,99027,51062,48807,13,14,29,30,5,5,388825,14,0,0,0," 0 + 1 part ",2368,98.751,1.002,0,14.85,2.21," 7914 + 171 part ",235980,4297948,98885,98885,48675,47129,14,"14",30," 31 \\ \hline"
"195","SAMN03300814_assembled"," contigs ",150,94,72,65,47,31,4313503,4289426,4248774,4196418,3923936,3310411,111,227591,4301389,4349904,65.56,65.63,101307,101307,52477,52352,15,15,30,31,12,10,583626,18,0,0,0," 1 + 0 part ",1578,98.654,1.002,0,15.78,2.42," 7906 + 179 part ",227591,4293587,80647,80020,52352,52352,16,"17",33," 33 \\ \hline"
"196","SAMN09725479_assembled"," contigs ",149,95,70,65,51,30,4318529,4293199,4240096,4204639,3969838,3197577,111,259210,4305370,4349904,65.54,65.63,96387,96387,49910,48625,15,15,31,32,4,4,478001,14,0,0,0," 1 + 0 part ",527,98.73,1.002,0,16.28,2.75," 7936 + 185 part ",227649,4296587,88481,88481,47798,45833,16,"16",33," 34 \\ \hline"
"197","SAMN03300093_assembled"," contigs ",144,91,67,65,50,28,4320215,4294858,4252184,4237166,3985283,3176514,112,236751,4309529,4349904,65.58,65.63,98885,96368,46576,46576,13,14,30,30,8,7,234908,14,0,0,0," 1 + 0 part ",510,98.833,1.002,0,13.21,1.91," 7942 + 179 part ",236751,4302983,98885,96368,46388,44870,13,"14",30," 31 \\ \hline"
"198","SAMN03300164_assembled"," contigs ",149,92,69,66,52,28,4312061,4285683,4236910,4217275,3994299,3105107,112,319389,4300026,4349904,65.53,65.63,83755,83755,48337,46347,14,14,31,32,5,5,147428,11,0,0,0," 1 + 0 part ",513,98.667,1.002,0,9.58,1.63," 7944 + 173 part ",319097,4293979,83755,83755,48335,46347,14,"14",31," 32 \\ \hline"
"199","SAMN03300260_assembled"," contigs ",149,93,67,62,49,27,4315237,4289949,4236372,4199398,3980228,3118902,112,236015,4304310,4349904,65.56,65.63,98885,98885,47807,47807,13,13,30,30,3,3,280377,14,0,0,0," 0 + 0 part ",0,98.74,1.002,0,15.46,2.17," 7924 + 157 part ",236015,4296859,96329,96329,46417,46417,14,"14",31," 31 \\ \hline"
"200","SAMN03300293_assembled"," contigs ",183,95,68,63,49,28,4343750,4305824,4252020,4214288,3974183,3188759,112,248943,4318358,4349904,65.58,65.63,106124,106124,49736,49736,13,13,30,30,5,5,206041,8,0,0,0," 0 + 0 part ",0,99.059,1.002,0,10.07,1.79," 7956 + 165 part ",248943,4312487,98885,98885,48614,48614,14,"14",31," 31 \\ \hline"
"201","SAMN03300388_assembled"," contigs ",147,95,71,67,53,29,4321899,4298567,4248992,4218654,3998321,3138197,112,236698,4310518,4349904,65.55,65.63,98885,92899,49607,48634,14,15,31,32,4,3,65793,8,0,0,0," 0 + 1 part ",1035,98.849,1.002,0,9.7,1.44," 7950 + 173 part ",236698,4301774,98885,92879,49607,48604,14,"15",31," 32 \\ \hline"
"202","SAMN03300444_assembled"," contigs ",168,92,70,63,48,30,4327340,4298030,4256781,4203309,3952529,3290526,112,227646,4312612,4349904,65.56,65.63,98885,98885,53394,51066,14,14,29,30,4,4,105509,8,0,0,0," 0 + 1 part ",1039,98.93,1.002,0,9.25,2," 7938 + 181 part ",227646,4306352,98885,98885,48528,48528,14,"14",30," 30 \\ \hline"
"203","SAMN03300480_assembled"," contigs ",150,90,70,67,50,28,4290777,4263456,4222017,4199177,3917912,3067509,112,221063,4279505,4349904,65.58,65.63,98884,98884,45793,45364,15,15,31,33,11,10,230738,12,0,0,0," 0 + 2 part ",3070,98.081,1.002,0,16.95,2.98," 7886 + 157 part ",220916,4270997,98884,98884,45364,44896,15,"15",32," 33 \\ \hline"
"204","SAMN03300526_assembled"," contigs ",150,90,65,60,48,29,4327178,4300121,4253506,4216300,4027102,3323218,112,317550,4315216,4349904,65.56,65.63,96386,96386,52180,52180,13,13,28,28,6,6,697767,16,0,0,0," 0 + 0 part ",0,99.024,1.002,0,8.98,1.72," 7946 + 175 part ",236625,4310939,96386,96386,50961,50961,14,"14",30," 30 \\ \hline"
"205","SAMN03300711_assembled"," contigs ",169,91,64,59,47,28,4334994,4300147,4244114,4206196,4025376,3334121,112,328121,4314049,4349904,65.58,65.63,116553,116553,52477,52477,12,12,27,27,5,5,133794,14,0,0,0," 2 + 1 part ",3118,98.882,1.002,0,11.25,1.79," 7956 + 161 part ",328015,4304125,116410,116410,52477,52477,12,"12",27," 27 \\ \hline"
"206","SAMN03300723_assembled"," contigs ",161,90,67,61,51,29,4328723,4296627,4246675,4200257,4022945,3160436,112,249125,4312039,4349904,65.57,65.63,84271,84271,49836,48745,14,14,31,32,5,4,293422,7,0,0,0," 0 + 1 part ",1000,98.848,1.003,0,10.42,1.7," 7936 + 175 part ",249125,4303148,83942,83942,48651,48263,14,"14",31," 32 \\ \hline"
"207","SAMN03300744_assembled"," contigs ",139,92,67,63,48,28,4310282,4289493,4243462,4213990,3982998,3220403,112,235980,4302928,4349904,65.56,65.63,98885,98885,49977,49977,14,14,29,29,9,7,509103,14,0,0,0," 0 + 0 part ",0,98.725,1.002,0,15.21,2.21," 7910 + 173 part ",235980,4297820,96386,96386,48546,48528,14,"14",30," 31 \\ \hline"
"208","SAMN03300765_assembled"," contigs ",146,92,68,63,47,27,4316313,4291308,4239841,4204090,3945929,3190324,112,227591,4306053,4349904,65.57,65.63,105469,105469,48724,48496,13,13,28,29,4,3,464050,14,0,0,0," 0 + 1 part ",652,98.777,1.002,0,15.41,2.14," 7914 + 169 part ",227591,4299795,83671,81818,48354,45641,14,"15",31," 32 \\ \hline"
"209","SAMN03300773_assembled"," contigs ",157,93,70,67,53,33,4321340,4294205,4247933,4225143,3991712,3295190,112,227645,4308083,4349904,65.55,65.63,83327,83327,52477,52361,16,16,32,33,10,9,285780,9,0,0,0," 0 + 0 part ",0,98.8,1.002,0,10.05,1.72," 7934 + 177 part ",227645,4300344,80646,73528,48496,48496,16,"17",34," 34 \\ \hline"
"210","SAMN03300787_assembled"," contigs ",192,88,66,63,45,29,4351618,4304547,4264111,4243308,3950489,3357424,112,248327,4322238,4349904,65.54,65.63,107931,107931,52361,50477,13,13,27,28,5,3,247520,11,0,0,0," 8 + 0 part ",6481,99.036,1.002,1.04,9.63,2," 7956 + 163 part ",248327,4311127,107931,107931,50368,50368,13,"13",28," 28 \\ \hline"
"211","SAMN03300797_assembled"," contigs ",161,92,71,67,53,28,4321126,4292240,4250117,4215601,3986579,3005984,112,227591,4305874,4349904,65.57,65.63,84275,84275,46062,45888,15,15,33,34,7,6,289798,13,0,0,0," 1 + 0 part ",781,98.758,1.002,0,14.01,2.07," 7916 + 169 part ",227591,4298988,78481,73248,45888,44516,16,"17",35," 36 \\ \hline"
"212","SAMN03300073_assembled"," contigs ",146,95,74,68,53,28,4309215,4286783,4243135,4196604,3958896,3014170,113,256813,4299085,4349904,65.55,65.63,81270,81270,45512,45023,15,15,33,34,6,5,163797,13,0,0,0," 0 + 0 part ",0,98.617,1.002,0,14.34,2.17," 7908 + 181 part ",256629,4292177,81229,81229,45023,44664,15,"15",34," 35 \\ \hline"
"213","SAMN03300143_assembled"," contigs ",150,95,73,70,53,27,4323983,4299264,4251217,4229625,3963020,3014147,113,236765,4311573,4349904,65.56,65.63,98817,98817,45971,45875,14,14,32,33,5,5,345353,12,0,0,0," 0 + 0 part ",0,98.944,1.002,0,9.97,1.77," 7950 + 169 part ",236765,4306471,79193,79193,45875,44575,15,"15",33," 34 \\ \hline"
"214","SAMN03300170_assembled"," contigs ",187,84,65,59,47,31,4342101,4295621,4258535,4210031,4018180,3427469,113,212145,4315212,4349904,65.54,65.63,124549,124549,57619,57619,14,14,28,28,3,2,257597,22,0,0,0," 10 + 0 part ",5865,98.895,1.002,0,14.16,2.25," 7926 + 163 part ",212114,4304533,107277,98885,53347,53347,14,"15",30," 30 \\ \hline"
"215","SAMN03300184_assembled"," contigs ",147,94,65,61,51,32,4319517,4296434,4236438,4205541,4050493,3385366,113,227646,4309347,4349904,65.55,65.63,101957,101957,56742,56742,15,15,30,30,4,4,298296,10,0,0,0," 0 + 0 part ",0,98.93,1.001,0,9.5,1.67," 7946 + 171 part ",227646,4305652,96549,96549,50572,49722,16,"16",31," 32 \\ \hline"
"216","SAMN03300187_assembled"," contigs ",145,95,72,69,50,29,4320192,4296481,4253057,4232243,3930159,3153014,113,227646,4309732,4349904,65.56,65.63,92893,92893,48907,48421,14,14,31,32,3,3,214597,11,0,0,0," 0 + 0 part ",0,98.906,1.002,0,8.88,1.63," 7950 + 171 part ",227646,4305063,92890,82417,48249,48249,14,"15",32," 32 \\ \hline"
"217","SAMN03300253_assembled"," contigs ",150,92,68,63,47,29,4315714,4288621,4244295,4206107,3922272,3245217,113,227646,4303077,4349904,65.56,65.63,100477,100477,51043,49857,14,14,29,30,7,5,267609,15,0,0,0," 2 + 0 part ",1619,98.684,1.002,0,10.34,1.72," 7932 + 173 part ",227646,4294585,96028,96028,49740,48342,14,"14",30," 31 \\ \hline"
"218","SAMN03300371_assembled"," contigs ",146,90,68,64,47,30,4318180,4291196,4247425,4217625,3947059,3309761,113,256807,4307135,4349904,65.57,65.63,107299,107299,51342,51045,13,13,29,30,5,5,221133,14,0,0,0," 0 + 0 part ",0,98.771,1.002,0,11.31,1.63," 7922 + 169 part ",256625,4299338,98885,96547,51045,51045,13,"14",30," 30 \\ \hline"
"219","SAMN03300429_assembled"," contigs ",147,99,73,65,49,31,4307496,4286990,4234613,4172942,3940486,3285845,113,212283,4296515,4349904,65.55,65.63,83794,83794,51727,51043,15,15,30,31,6,6,279450,16,0,0,0," 0 + 0 part ",0,98.58,1.002,0,14.9,2.12," 7906 + 179 part ",212067,4289459,82501,82501,47936,45357,15,"15",32," 33 \\ \hline"
"220","SAMN03300443_assembled"," contigs ",226,78,59,55,46,28,4373308,4306872,4270595,4239871,4091382,3379287,113,328395,4329920,4349904,65.55,65.63,129456,129456,52361,52361,12,12,26,26,4,4,91312,9,0,0,0," 18 + 1 part ",12176,99.118,1.001,0,8.58,1.74," 7978 + 141 part ",328262,4313971,129456,129456,52314,52314,12,"12",26," 26 \\ \hline"
"221","SAMN03300470_assembled"," contigs ",154,92,66,62,46,25,4314931,4287698,4237868,4206564,3947534,3128784,113,235980,4302428,4349904,65.56,65.63,130281,130281,49156,48020,12,12,27,28,7,5,550207,15,0,0,0," 0 + 0 part ",0,98.714,1.002,0,13.79,2.1," 7910 + 171 part ",235980,4296818,101919,101919,45904,45904,14,"14",31," 31 \\ \hline"
"222","SAMN03300539_assembled"," contigs ",166,85,61,56,44,32,4345302,4308015,4260360,4227588,4026205,3609740,113,236625,4327579,4349904,65.56,65.63,111784,111784,60728,60728,12,12,26,26,3,2,113987,12,0,0,0," 8 + 0 part ",7473,99.134,1.002,0,8.9,1.86," 7962 + 155 part ",236625,4315985,101495,98885,59988,59988,12,"13",27," 27 \\ \hline"
"223","SAMN03300599_assembled"," contigs ",157,91,71,65,48,28,4312574,4284911,4243148,4198272,3928426,3200348,113,256773,4299606,4349904,65.55,65.63,98885,98885,49218,48406,14,14,29,30,8,7,437324,13,0,0,0," 0 + 0 part ",0,98.623,1.002,0,16.25,2.45," 7906 + 177 part ",256685,4292772,96551,96329,48096,42750,14,"15",30," 31 \\ \hline"
"224","SAMN03300633_assembled"," contigs ",205,87,56,54,46,30,4363843,4312811,4250782,4236647,4108499,3502756,113,328795,4330514,4349904,65.52,65.63,103162,103162,58420,58420,12,12,26,26,3,3,471138,12,0,0,0," 17 + 1 part ",23087,98.878,1.001,0,13.95,2.65," 7944 + 145 part ",249042,4304140,103024,103024,58420,58420,13,"13",27," 27 \\ \hline"
"225","SAMN03300648_assembled"," contigs ",156,97,66,61,45,28,4303184,4278680,4211122,4171143,3905747,3254004,113,227591,4289667,4349904,65.53,65.63,105907,105907,52477,49662,13,13,28,29,10,9,266150,12,0,0,0," 1 + 0 part ",532,98.425,1.002,0,14.53,1.99," 7900 + 181 part ",227591,4283876,105226,98885,48309,46549,13,"14",29," 30 \\ \hline"
"226","SAMN03300695_assembled"," contigs ",170,95,69,63,46,30,4328710,4295139,4246247,4203053,3924968,3296772,113,236089,4307808,4349904,65.59,65.63,102030,98885,52479,51076,13,14,29,30,5,5,271223,14,0,0,0," 0 + 0 part ",0,98.845,1.002,0,14.56,2.35," 7922 + 169 part ",236089,4302826,98885,98885,51076,49863,14,"14",30," 31 \\ \hline"
"227","SAMN03300727_assembled"," contigs ",150,97,70,66,53,28,4320034,4297318,4246114,4212818,4004094,3111153,113,227701,4308775,4349904,65.56,65.63,92891,92891,44914,44605,14,14,31,32,7,7,189200,11,0,0,0," 0 + 0 part ",0,98.837,1.002,0,10.05,1.67," 7948 + 173 part ",227701,4302355,92888,92888,44899,44605,14,"14",31," 32 \\ \hline"
"228","SAMN03300780_assembled"," contigs ",153,95,69,65,50,29,4325457,4300323,4247290,4217016,3964750,3208460,113,225668,4312801,4349904,65.57,65.63,96368,96368,49825,48650,15,15,30,31,7,7,265556,11,0,0,0," 0 + 0 part ",0,98.938,1.002,0,9.9,1.7," 7950 + 169 part ",225668,4307406,92851,92851,49825,48650,15,"15",31," 32 \\ \hline"
"229","SAMN03300792_assembled"," contigs ",159,94,69,62,48,30,4313976,4286771,4229623,4176521,3958252,3299024,113,227591,4301056,4349904,65.56,65.63,98885,98885,52333,50197,13,13,29,30,5,5,194660,18,0,0,0," 0 + 0 part ",0,98.698,1.002,0,14.72,2.21," 7904 + 183 part ",227591,4295416,83823,81378,50193,48948,13,"14",30," 31 \\ \hline"
"230","SAMN03300862_assembled"," contigs ",157,95,70,65,51,32,4317360,4291655,4242429,4200430,3978029,3298602,113,227704,4304286,4349904,65.55,65.63,98884,98884,52429,51022,15,15,31,32,5,5,73430,10,0,0,0," 0 + 0 part ",0,98.779,1.002,0,10.1,1.7," 7934 + 187 part ",227704,4300087,98884,98884,52429,50903,15,"15",31," 32 \\ \hline"
"231","SAMN03300067_assembled"," contigs ",148,98,71,67,50,29,4324157,4301387,4246945,4215747,3938012,3097823,114,227701,4312715,4349904,65.57,65.63,99112,99112,48628,48505,15,15,32,33,8,6,293405,12,0,0,0," 1 + 0 part ",689,98.923,1.002,0,9.92,1.81," 7940 + 179 part ",227701,4305062,98986,98986,43204,43204,15,"15",34," 34 \\ \hline"
"232","SAMN03300088_assembled"," contigs ",158,96,67,64,49,25,4310345,4283172,4217839,4196115,3962347,3077396,114,235903,4295884,4349904,65.55,65.63,116589,116589,44031,44031,13,13,29,29,18,15,637641,12,0,0,0," 0 + 1 part ",846,98.532,1.002,0,14.68,2.15," 7890 + 197 part ",235903,4288832,98885,98885,42708,42687,13,"13",31," 32 \\ \hline"
"233","SAMN03300198_assembled"," contigs ",145,94,67,62,51,29,4323970,4300296,4247630,4207907,4031738,3184766,114,236807,4313759,4349904,65.59,65.63,107244,107244,48752,48752,14,14,31,31,5,5,299685,8,0,0,0," 2 + 0 part ",1027,98.885,1.003,0,11.86,2.05," 7942 + 165 part ",236807,4304587,96028,96028,48678,48355,15,"15",32," 33 \\ \hline"
"234","SAMN03300207_assembled"," contigs ",168,94,73,69,51,31,4326577,4292641,4250514,4224186,3933308,3180690,114,220937,4306900,4349904,65.58,65.63,96368,96368,49875,48507,16,16,32,33,6,6,117276,11,0,0,0," 0 + 1 part ",2823,98.705,1.002,0,11.34,1.79," 7920 + 189 part ",220936,4295942,96028,96028,48317,48317,16,"16",33," 33 \\ \hline"
"235","SAMN03300215_assembled"," contigs ",153,99,74,67,50,25,4318472,4295236,4246556,4190630,3890386,2946497,114,236089,4305828,4349904,65.57,65.63,96549,96549,43190,42688,15,15,31,32,7,7,166089,15,0,0,0," 0 + 0 part ",0,98.784,1.002,0,14.15,2.02," 7914 + 171 part ",236089,4299656,96329,96329,42678,42247,15,"15",32," 33 \\ \hline"
